Variables;Importance
results_ktlint_None_indent;-0.0416
results_ktlint_None_modifier-order;-0.0271
results_ktlint_None_no-semi;-0.0101
results_ktlint_None_paren-spacing;-0.0065
results_ktlint_None_op-spacing;-0.0053
results_ktlint_None_range-spacing;0.0016
results_ktlint_None_chain-wrapping;0.0043
results_ktlint_None_parameter-list-wrapping;0.0049
results_ktlint_None_curly-spacing;0.0050
results_ktlint_None_no-unit-return;0.0073
results_ktlint_None_comma-spacing;0.0140
results_ktlint_None_no-unused-imports;0.0142
results_ktlint_None_dot-spacing;0.0160
results_ktlint_None_no-empty-class-body;0.0213
results_ktlint_None_;0.0229
results_ktlint_None_no-blank-line-before-rbrace;0.0249
results_ktlint_None_no-trailing-spaces;0.0251
results_ktlint_None_no-wildcard-imports;0.0270
results_ktlint_None_comment-spacing;0.0281
results_ktlint_None_no-line-break-after-else;0.0295
results_ktlint_None_string-template;0.0322
results_ktlint_None_colon-spacing;0.0364
results_ktlint_None_import-ordering;0.0375
results_ktlint_None_no-multi-spaces;0.0426
results_ktlint_None_no-consecutive-blank-lines;0.0464
results_ktlint_None_keyword-spacing;0.0554
results_ktlint_None_no-line-break-before-assignment;0.0569
results_ktlint_None_final-newline;0.0738
