Variables;Importance
results_ktlint_None_comment-spacing;-0.0179
results_ktlint_None_no-consecutive-blank-lines;-0.0137
results_ktlint_None_import-ordering;-0.0109
results_ktlint_None_no-semi;-0.0102
results_ktlint_None_no-line-break-after-else;-0.0093
results_ktlint_None_no-line-break-before-assignment;-0.0085
results_ktlint_None_curly-spacing;-0.0078
results_ktlint_None_no-unit-return;-0.0074
results_ktlint_None_range-spacing;-0.0064
results_ktlint_None_modifier-order;-0.0053
results_ktlint_None_no-wildcard-imports;-0.0038
results_ktlint_None_no-multi-spaces;-0.0035
results_ktlint_None_no-unused-imports;-0.0032
results_ktlint_None_final-newline;-0.0032
results_ktlint_None_chain-wrapping;-0.0016
results_ktlint_None_no-blank-line-before-rbrace;-0.0016
results_ktlint_None_keyword-spacing;-0.0015
results_ktlint_None_dot-spacing;-0.0000
results_ktlint_None_indent;0.0015
results_ktlint_None_op-spacing;0.0043
results_ktlint_None_no-trailing-spaces;0.0047
results_ktlint_None_;0.0048
results_ktlint_None_string-template;0.0050
results_ktlint_None_no-empty-class-body;0.0053
results_ktlint_None_paren-spacing;0.0061
results_ktlint_None_colon-spacing;0.0072
results_ktlint_None_comma-spacing;0.0084
results_ktlint_None_parameter-list-wrapping;0.0086
