Variables;Importance
results_ktlint_None_final-newline;-0.0346
results_ktlint_None_no-consecutive-blank-lines;-0.0296
results_ktlint_None_string-template;-0.0201
results_ktlint_None_comment-spacing;-0.0181
results_ktlint_None_keyword-spacing;-0.0168
results_ktlint_None_op-spacing;-0.0144
results_ktlint_None_chain-wrapping;-0.0144
results_ktlint_None_no-line-break-after-else;-0.0103
results_ktlint_None_dot-spacing;-0.0101
results_ktlint_None_no-semi;-0.0083
results_ktlint_None_no-line-break-before-assignment;-0.0066
results_ktlint_None_no-empty-class-body;-0.0014
results_ktlint_None_parameter-list-wrapping;-0.0007
results_ktlint_None_no-wildcard-imports;0.0003
results_ktlint_None_no-multi-spaces;0.0016
results_ktlint_None_modifier-order;0.0023
results_ktlint_None_no-blank-line-before-rbrace;0.0024
results_ktlint_None_paren-spacing;0.0029
results_ktlint_None_no-unit-return;0.0030
results_ktlint_None_colon-spacing;0.0031
results_ktlint_None_comma-spacing;0.0038
results_ktlint_None_range-spacing;0.0060
results_ktlint_None_no-trailing-spaces;0.0114
results_ktlint_None_curly-spacing;0.0131
results_ktlint_None_indent;0.0196
results_ktlint_None_import-ordering;0.0320
results_ktlint_None_;0.0381
results_ktlint_None_no-unused-imports;0.0394
