Variables,Importance
results_ktlint_None_no-consecutive-blank-lines,-0.0179
results_ktlint_None_comment-spacing,-0.0160
results_ktlint_None_no-unused-imports,-0.0114
results_ktlint_None_no-unit-return,-0.0063
results_ktlint_None_no-trailing-spaces,-0.0059
results_ktlint_None_dot-spacing,-0.0055
results_ktlint_None_chain-wrapping,-0.0055
results_ktlint_None_parameter-list-wrapping,-0.0054
results_ktlint_None_comma-spacing,-0.0052
results_ktlint_None_no-multi-spaces,-0.0041
results_ktlint_None_no-empty-class-body,-0.0019
results_ktlint_None_op-spacing,-0.0004
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_final-newline,0.0005
results_ktlint_None_no-blank-line-before-rbrace,0.0008
results_ktlint_None_no-line-break-before-assignment,0.0008
results_ktlint_None_range-spacing,0.0009
results_ktlint_None_modifier-order,0.0009
results_ktlint_None_indent,0.0038
results_ktlint_None_paren-spacing,0.0057
results_ktlint_None_curly-spacing,0.0058
results_ktlint_None_no-semi,0.0068
results_ktlint_None_string-template,0.0106
results_ktlint_None_import-ordering,0.0146
results_ktlint_None_colon-spacing,0.0163
results_ktlint_None_keyword-spacing,0.0201
results_ktlint_None_no-wildcard-imports,0.0216
results_ktlint_None_,0.0272
