Variables,Importance
results_ktlint_None_no-unused-imports,-0.0344
results_ktlint_None_no-consecutive-blank-lines,-0.0242
results_ktlint_None_comment-spacing,-0.0204
results_ktlint_None_no-multi-spaces,-0.0161
results_ktlint_None_no-semi,-0.0086
results_ktlint_None_no-blank-line-before-rbrace,-0.0063
results_ktlint_None_no-wildcard-imports,-0.0055
results_ktlint_None_parameter-list-wrapping,-0.0044
results_ktlint_None_no-unit-return,-0.0029
results_ktlint_None_no-line-break-before-assignment,-0.0013
results_ktlint_None_dot-spacing,0.0000
results_ktlint_None_range-spacing,0.0000
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_comma-spacing,0.0004
results_ktlint_None_chain-wrapping,0.0011
results_ktlint_None_no-trailing-spaces,0.0040
results_ktlint_None_no-empty-class-body,0.0076
results_ktlint_None_op-spacing,0.0077
results_ktlint_None_string-template,0.0111
results_ktlint_None_paren-spacing,0.0127
results_ktlint_None_modifier-order,0.0131
results_ktlint_None_keyword-spacing,0.0133
results_ktlint_None_curly-spacing,0.0183
results_ktlint_None_final-newline,0.0252
results_ktlint_None_colon-spacing,0.0292
results_ktlint_None_import-ordering,0.0611
results_ktlint_None_,0.0765
results_ktlint_None_indent,0.0916
