Variables;Importance
results_ktlint_None_no-multi-spaces;-0.0175
results_ktlint_None_parameter-list-wrapping;-0.0107
results_ktlint_None_no-unused-imports;-0.0043
results_ktlint_None_no-unit-return;-0.0033
results_ktlint_None_curly-spacing;-0.0022
results_ktlint_None_no-empty-class-body;-0.0014
results_ktlint_None_comma-spacing;-0.0003
results_ktlint_None_no-line-break-after-else;0.0000
results_ktlint_None_keyword-spacing;0.0010
results_ktlint_None_string-template;0.0039
results_ktlint_None_modifier-order;0.0049
results_ktlint_None_no-semi;0.0050
results_ktlint_None_final-newline;0.0074
results_ktlint_None_colon-spacing;0.0078
results_ktlint_None_no-trailing-spaces;0.0081
results_ktlint_None_range-spacing;0.0091
results_ktlint_None_;0.0106
results_ktlint_None_no-blank-line-before-rbrace;0.0107
results_ktlint_None_indent;0.0107
results_ktlint_None_no-line-break-before-assignment;0.0109
results_ktlint_None_import-ordering;0.0119
results_ktlint_None_comment-spacing;0.0123
results_ktlint_None_chain-wrapping;0.0127
results_ktlint_None_paren-spacing;0.0151
results_ktlint_None_no-wildcard-imports;0.0172
results_ktlint_None_dot-spacing;0.0174
results_ktlint_None_no-consecutive-blank-lines;0.0255
results_ktlint_None_op-spacing;0.0272
