Variables;Importance
results_ktlint_None_colon-spacing;-0.0191
results_ktlint_None_no-consecutive-blank-lines;-0.0186
results_ktlint_None_string-template;-0.0125
results_ktlint_None_chain-wrapping;-0.0123
results_ktlint_None_;-0.0105
results_ktlint_None_range-spacing;-0.0020
results_ktlint_None_keyword-spacing;-0.0007
results_ktlint_None_no-wildcard-imports;-0.0006
results_ktlint_None_no-empty-class-body;0.0011
results_ktlint_None_no-line-break-after-else;0.0012
results_ktlint_None_parameter-list-wrapping;0.0025
results_ktlint_None_no-semi;0.0031
results_ktlint_None_dot-spacing;0.0036
results_ktlint_None_no-blank-line-before-rbrace;0.0036
results_ktlint_None_paren-spacing;0.0048
results_ktlint_None_no-unit-return;0.0057
results_ktlint_None_modifier-order;0.0059
results_ktlint_None_comma-spacing;0.0061
results_ktlint_None_op-spacing;0.0083
results_ktlint_None_final-newline;0.0095
results_ktlint_None_comment-spacing;0.0096
results_ktlint_None_no-trailing-spaces;0.0131
results_ktlint_None_indent;0.0149
results_ktlint_None_import-ordering;0.0157
results_ktlint_None_curly-spacing;0.0158
results_ktlint_None_no-unused-imports;0.0198
results_ktlint_None_no-multi-spaces;0.0335
results_ktlint_None_no-line-break-before-assignment;0.0631
