Variables;Importance
results_ktlint_None_keyword-spacing;-0.0121
results_ktlint_None_no-semi;-0.0087
results_ktlint_None_colon-spacing;-0.0073
results_ktlint_None_string-template;-0.0044
results_ktlint_None_no-unused-imports;-0.0028
results_ktlint_None_range-spacing;-0.0020
results_ktlint_None_op-spacing;-0.0010
results_ktlint_None_no-blank-line-before-rbrace;0.0020
results_ktlint_None_no-line-break-after-else;0.0026
results_ktlint_None_final-newline;0.0039
results_ktlint_None_no-consecutive-blank-lines;0.0047
results_ktlint_None_import-ordering;0.0049
results_ktlint_None_dot-spacing;0.0072
results_ktlint_None_paren-spacing;0.0079
results_ktlint_None_comment-spacing;0.0104
results_ktlint_None_chain-wrapping;0.0109
results_ktlint_None_;0.0124
results_ktlint_None_no-line-break-before-assignment;0.0126
results_ktlint_None_parameter-list-wrapping;0.0128
results_ktlint_None_no-multi-spaces;0.0131
results_ktlint_None_modifier-order;0.0138
results_ktlint_None_no-wildcard-imports;0.0143
results_ktlint_None_curly-spacing;0.0150
results_ktlint_None_no-trailing-spaces;0.0173
results_ktlint_None_no-empty-class-body;0.0198
results_ktlint_None_no-unit-return;0.0204
results_ktlint_None_indent;0.0208
results_ktlint_None_comma-spacing;0.0232
