Variables;Importance
results_ktlint_None_no-consecutive-blank-lines;-0.0276
results_ktlint_None_no-unused-imports;-0.0204
results_ktlint_None_no-unit-return;-0.0174
results_ktlint_None_no-semi;-0.0166
results_ktlint_None_no-multi-spaces;-0.0142
results_ktlint_None_chain-wrapping;-0.0119
results_ktlint_None_no-trailing-spaces;-0.0099
results_ktlint_None_no-blank-line-before-rbrace;-0.0094
results_ktlint_None_parameter-list-wrapping;-0.0093
results_ktlint_None_op-spacing;-0.0084
results_ktlint_None_modifier-order;-0.0078
results_ktlint_None_no-line-break-after-else;-0.0057
results_ktlint_None_dot-spacing;-0.0031
results_ktlint_None_import-ordering;-0.0014
results_ktlint_None_paren-spacing;-0.0005
results_ktlint_None_indent;0.0004
results_ktlint_None_string-template;0.0042
results_ktlint_None_comma-spacing;0.0046
results_ktlint_None_final-newline;0.0046
results_ktlint_None_keyword-spacing;0.0048
results_ktlint_None_comment-spacing;0.0048
results_ktlint_None_no-wildcard-imports;0.0066
results_ktlint_None_no-empty-class-body;0.0084
results_ktlint_None_range-spacing;0.0091
results_ktlint_None_no-line-break-before-assignment;0.0095
results_ktlint_None_curly-spacing;0.0139
results_ktlint_None_colon-spacing;0.0151
results_ktlint_None_;0.0290
