Variables;Importance
results_ktlint_None_indent;-0.0107
results_ktlint_None_no-line-break-after-else;-0.0101
results_ktlint_None_paren-spacing;-0.0073
results_ktlint_None_import-ordering;-0.0037
results_ktlint_None_;-0.0033
results_ktlint_None_op-spacing;-0.0005
results_ktlint_None_range-spacing;0.0000
results_ktlint_None_no-wildcard-imports;0.0010
results_ktlint_None_parameter-list-wrapping;0.0029
results_ktlint_None_no-empty-class-body;0.0038
results_ktlint_None_no-unused-imports;0.0044
results_ktlint_None_comma-spacing;0.0060
results_ktlint_None_no-trailing-spaces;0.0068
results_ktlint_None_colon-spacing;0.0069
results_ktlint_None_dot-spacing;0.0073
results_ktlint_None_modifier-order;0.0097
results_ktlint_None_keyword-spacing;0.0098
results_ktlint_None_no-semi;0.0106
results_ktlint_None_no-unit-return;0.0110
results_ktlint_None_string-template;0.0142
results_ktlint_None_chain-wrapping;0.0143
results_ktlint_None_no-blank-line-before-rbrace;0.0170
results_ktlint_None_curly-spacing;0.0190
results_ktlint_None_no-line-break-before-assignment;0.0227
results_ktlint_None_no-consecutive-blank-lines;0.0283
results_ktlint_None_no-multi-spaces;0.0325
results_ktlint_None_final-newline;0.0336
results_ktlint_None_comment-spacing;0.0464
