Variables,Importance
results_ktlint_None_colon-spacing,-0.0074
results_ktlint_None_keyword-spacing,-0.0071
results_ktlint_None_no-blank-line-before-rbrace,-0.0066
results_ktlint_None_string-template,-0.0027
results_ktlint_None_paren-spacing,-0.0027
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_modifier-order,0.0011
results_ktlint_None_no-semi,0.0017
results_ktlint_None_chain-wrapping,0.0022
results_ktlint_None_no-unit-return,0.0023
results_ktlint_None_op-spacing,0.0050
results_ktlint_None_import-ordering,0.0051
results_ktlint_None_comma-spacing,0.0052
results_ktlint_None_range-spacing,0.0061
results_ktlint_None_no-wildcard-imports,0.0069
results_ktlint_None_no-line-break-before-assignment,0.0074
results_ktlint_None_dot-spacing,0.0080
results_ktlint_None_no-empty-class-body,0.0108
results_ktlint_None_no-consecutive-blank-lines,0.0118
results_ktlint_None_curly-spacing,0.0150
results_ktlint_None_no-trailing-spaces,0.0162
results_ktlint_None_parameter-list-wrapping,0.0200
results_ktlint_None_final-newline,0.0278
results_ktlint_None_indent,0.0284
results_ktlint_None_comment-spacing,0.0302
results_ktlint_None_no-multi-spaces,0.0347
results_ktlint_None_no-unused-imports,0.0409
results_ktlint_None_,0.1054
