Variables,Importance
results_ktlint_None_colon-spacing,-0.0273
results_ktlint_None_chain-wrapping,-0.0131
results_ktlint_None_paren-spacing,-0.0128
results_ktlint_None_keyword-spacing,-0.0105
results_ktlint_None_string-template,-0.0022
results_ktlint_None_no-blank-line-before-rbrace,-0.0014
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_modifier-order,0.0003
results_ktlint_None_op-spacing,0.0013
results_ktlint_None_no-semi,0.0019
results_ktlint_None_dot-spacing,0.0044
results_ktlint_None_no-line-break-before-assignment,0.0053
results_ktlint_None_no-consecutive-blank-lines,0.0067
results_ktlint_None_range-spacing,0.0069
results_ktlint_None_comma-spacing,0.0094
results_ktlint_None_no-empty-class-body,0.0096
results_ktlint_None_parameter-list-wrapping,0.0110
results_ktlint_None_comment-spacing,0.0119
results_ktlint_None_no-trailing-spaces,0.0137
results_ktlint_None_no-unit-return,0.0148
results_ktlint_None_curly-spacing,0.0181
results_ktlint_None_no-wildcard-imports,0.0185
results_ktlint_None_no-multi-spaces,0.0291
results_ktlint_None_final-newline,0.0345
results_ktlint_None_indent,0.0351
results_ktlint_None_no-unused-imports,0.0369
results_ktlint_None_import-ordering,0.0371
results_ktlint_None_,0.0908
