project_name,project_language,project_created_at,project_number_of_forks,project_number_of_commits,project_number_of_project_members,project_number_of_watchers,submitter_username,submitter_number_of_followers,submitter_is_project_member,id,accepted,time_opened,head_repo,head_commit,base_commit,number_of_commits,number_of_comments,modified,deleted,added,linted_and_modified,linted_and_added,linted_and_deleted,results_ktlint_None_no-unused-imports,results_ktlint_None_indent,results_ktlint_None_final-newline,results_ktlint_None_no-multi-spaces,results_ktlint_None_comma-spacing,results_ktlint_None_parameter-list-wrapping,results_ktlint_None_no-unit-return,results_ktlint_None_no-trailing-spaces,results_ktlint_None_curly-spacing,results_ktlint_None_import-ordering,results_ktlint_None_no-wildcard-imports,results_ktlint_None_no-consecutive-blank-lines,results_ktlint_None_comment-spacing,results_ktlint_None_string-template,results_ktlint_None_keyword-spacing,results_ktlint_None_colon-spacing,results_ktlint_None_chain-wrapping,results_ktlint_None_no-blank-line-before-rbrace,results_ktlint_None_op-spacing,results_ktlint_None_no-semi,results_ktlint_None_paren-spacing,results_ktlint_None_modifier-order,results_ktlint_None_no-empty-class-body,results_ktlint_None_no-line-break-before-assignment,results_ktlint_None_,results_ktlint_None_dot-spacing,results_ktlint_None_range-spacing,results_ktlint_None_no-line-break-after-else
cashapp/sqldelight,Kotlin,1445426478.0,378,,,4497,eygraber,,False,2930,True,103340.0,eygraber/sqldelight,24846290ec9440a3490cae326590f35b6db6eb4a,56a1f78b5a0a79e48cc6e83043ec50366fa3030a,,,6,0,4,3,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashapp/sqldelight,Kotlin,1445426478.0,378,,,4497,AlecStrong,,False,2908,True,61129.0,cashapp/sqldelight,5ac5dbfaeba2efb77f24346e7651bdc95cf553d0,1e51f3fb1ca542d3b5fc65dfa4c9e282f7c7e65f,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashapp/sqldelight,Kotlin,1445426478.0,378,,,4497,AlecStrong,,False,2907,True,34236.0,cashapp/sqldelight,ce96b1b44a29e1eb7d6cac37fd295c1679cdc33e,5d3474dcb981c5bef06b100fc0af20b32a72c4f1,,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashapp/sqldelight,Kotlin,1445426478.0,378,,,4497,AlecStrong,,False,2906,True,34299.0,cashapp/sqldelight,a2535b29081f090699c533e42041855b71a87e02,5d3474dcb981c5bef06b100fc0af20b32a72c4f1,,,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashapp/sqldelight,Kotlin,1445426478.0,378,,,4497,AlecStrong,,False,2904,True,35226.0,cashapp/sqldelight,c3c5b8a8b3bf35631e39a02406143846537da9cc,5d3474dcb981c5bef06b100fc0af20b32a72c4f1,,,6,0,0,6,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashapp/sqldelight,Kotlin,1445426478.0,378,,,4497,AlecStrong,,False,2901,True,21031.0,cashapp/sqldelight,a3f659428331005cd66dcb382008923230f5bb53,36610f819d1c083697cb0803e242ddd614f831af,,,16,0,0,13,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashapp/sqldelight,Kotlin,1445426478.0,378,,,4497,AlecStrong,,False,2880,True,2600.0,cashapp/sqldelight,2703113564cc623dd09b6249aaca8b3b8211957b,c09b62f653471defbdf998fb156c1e841fd01a8b,,,9,2,1,6,1,2,0,-225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashapp/sqldelight,Kotlin,1445426478.0,378,,,4497,aperfilyev,,False,2879,True,3269.0,aperfilyev/sqldelight,7c2a6c64421c03a0b086a8156d457ff018050c5b,f53d3bda6b9b78918f8f562817c03c9ad9d404a8,,,3,1,0,3,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashapp/sqldelight,Kotlin,1445426478.0,378,,,4497,PaulWoitaschek,,False,2792,True,1101686.0,PaulWoitaschek/sqldelight,cb9c2710a175769c301dd6d44a2f55f14e42345c,0c1919703555197a505fd68e034e07c5859ed146,,,19,0,0,19,0,0,0,-117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashapp/sqldelight,Kotlin,1445426478.0,378,,,4497,kevincianfarini,,False,2747,True,1203748.0,kevincianfarini/sqldelight,b0369eb68864c41c81adfa11ec86c9740a4e5d49,b7511375944f5f1be3cdaaeceef73b8a6823bbfb,,,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
