Issue,Importance
results_ktlint_None_no-unused-imports,0.00000000
results_ktlint_None_indent,0.00000000
results_ktlint_None_final-newline,0.00000000
results_ktlint_None_no-multi-spaces,0.00000000
results_ktlint_None_comma-spacing,0.00000000
results_ktlint_None_parameter-list-wrapping,0.00000000
results_ktlint_None_no-unit-return,0.00000000
results_ktlint_None_no-trailing-spaces,0.00000000
results_ktlint_None_curly-spacing,0.00000000
results_ktlint_None_import-ordering,0.00000000
results_ktlint_None_no-wildcard-imports,0.10195888
results_ktlint_None_no-consecutive-blank-lines,0.02430553
results_ktlint_None_comment-spacing,0.00000000
results_ktlint_None_string-template,0.00000000
results_ktlint_None_keyword-spacing,0.00000000
results_ktlint_None_colon-spacing,0.00000000
results_ktlint_None_chain-wrapping,0.00000000
results_ktlint_None_no-blank-line-before-rbrace,0.24602098
results_ktlint_None_op-spacing,0.00000000
results_ktlint_None_no-semi,0.00000000
results_ktlint_None_paren-spacing,0.00000000
results_ktlint_None_modifier-order,0.00000000
results_ktlint_None_no-empty-class-body,0.00000000
results_ktlint_None_no-line-break-before-assignment,0.00000000
results_ktlint_None_,0.00000000
results_ktlint_None_dot-spacing,0.00000000
results_ktlint_None_range-spacing,0.00000000
results_ktlint_None_no-line-break-after-else,0.00000000
