Predicted,Actual
2205781.9380,4709.0000
156310.9593,71375.0000
1106114.6320,741.0000
3973553.2921,13482.0000
1182428.9857,5439011.0000
168611.7269,248434.0000
856842.9325,788007.0000
1106114.6320,1933.0000
1479043.5533,5497769.0000
1106114.6320,10022.0000
3983090.5265,17270.0000
303493.6689,24468.0000
17413063.1877,5164452.0000
1106114.6320,368093.0000
728362.2300,117229.0000
3736263.3911,808372.0000
156310.9593,406037.0000
9073130.7900,250048.0000
1106114.6320,695621.0000
4283239.0833,701937.0000
6807.3100,2043.0000
1106114.6320,63545.0000
1106114.6320,641.0000
32806537.0100,56580262.0000
1691052.6424,38700.0000
382441.6335,360837.0000
688471.9589,14134.0000
1106114.6320,513.0000
4727122.8550,245713.0000
555857.4219,795018.0000
198547.3171,1926.0000
1106114.6320,5946.0000
1106114.6320,18383.0000
7256904.6561,1170022.0000
1106114.6320,8532.0000
586722.0653,27235.0000
4091825.3233,17149.0000
1106114.6320,25749.0000
464889.7802,1656.0000
1106114.6320,3929.0000
1812255.5450,10095.0000
1106114.6320,54172.0000
81301.9437,78655.0000
4296261.7600,172379.0000
100782.5500,88867.0000
53719.2285,115154.0000
191411.2609,76061.0000
568903.8120,1209581.0000
1289323.3821,33309.0000
688471.9589,161536.0000
5290739.6787,856237.0000
104743.9229,3204.0000
891391.9874,62648.0000
1106114.6320,1817821.0000
1316331.8110,3741.0000
1106114.6320,301989.0000
1106114.6320,71567.0000
1106114.6320,9749042.0000
1106114.6320,267371.0000
303493.6689,53860.0000
1106114.6320,94531.0000
3575945.4421,1040113.0000
1106114.6320,158641.0000
303493.6689,895.0000
2711998.4048,66301.0000
30737.7972,819545.0000
191411.2609,261.0000
767294.0600,224100.0000
264471.8948,2558581.0000
4191650.8833,10929.0000
1106114.6320,24573.0000
6555852.7700,2444.0000
891391.9874,588454.0000
9340419.2200,432791.0000
1106114.6320,29409.0000
1106114.6320,527203.0000
6720820.8469,8235.0000
32696523.3250,47108953.0000
1106114.6320,2423.0000
660501.7527,4333113.0000
4079853.8526,410024.0000
1496281.1805,1286.0000
1106114.6320,268820.0000
66122.3915,6190.0000
1106114.6320,12284.0000
1106114.6320,13685.0000
5065210.0577,511383.0000
1496281.1805,182586.0000
1106114.6320,87548.0000
1106114.6320,434550.0000
1106114.6320,373013.0000
3179747.1783,127638.0000
610057.4000,6983.0000
713831.9200,242940.0000
409970.2222,1538.0000
682550.8870,27497.0000
9220934.8416,93055.0000
41144.4600,1263.0000
967281.9665,274599.0000
5879302.9517,1566715.0000
2124979.0100,16985173.0000
1106114.6320,2897226.0000
1106114.6320,236461.0000
3364769.9009,275544.0000
227565.8383,71.0000
1695285.4824,3950785.0000
1761093.0333,431217.0000
1106114.6320,498.0000
1106114.6320,80498.0000
1477440.2200,349565.0000
1106114.6320,1505479.0000
800212.0900,18420973.0000
1496281.1805,10952.0000
715880.2500,159585.0000
6552666.3825,8537713.0000
1106114.6320,433299.0000
1131170.9236,106561.0000
