Issue,Importance
results_ktlint_None_no-unused-imports,0.08798283
results_ktlint_None_indent,0.27821355
results_ktlint_None_final-newline,0.05489942
results_ktlint_None_no-multi-spaces,0.00532378
results_ktlint_None_comma-spacing,0.01984569
results_ktlint_None_parameter-list-wrapping,-0.00636023
results_ktlint_None_no-unit-return,0.00016131
results_ktlint_None_no-trailing-spaces,0.00547101
results_ktlint_None_curly-spacing,-0.00610382
results_ktlint_None_import-ordering,0.13820406
results_ktlint_None_no-wildcard-imports,0.29325482
results_ktlint_None_no-consecutive-blank-lines,0.05711220
results_ktlint_None_comment-spacing,0.15541552
results_ktlint_None_string-template,0.01152339
results_ktlint_None_keyword-spacing,-0.07932338
results_ktlint_None_colon-spacing,-0.04157447
results_ktlint_None_chain-wrapping,0.00288259
results_ktlint_None_no-blank-line-before-rbrace,0.00251377
results_ktlint_None_op-spacing,0.00715815
results_ktlint_None_no-semi,0.09215026
results_ktlint_None_paren-spacing,0.06944873
results_ktlint_None_modifier-order,0.00091010
results_ktlint_None_no-empty-class-body,0.00000692
results_ktlint_None_no-line-break-before-assignment,0.00002807
results_ktlint_None_,0.00207355
results_ktlint_None_dot-spacing,0.00000000
results_ktlint_None_range-spacing,0.00000000
results_ktlint_None_no-line-break-after-else,0.00000000
