Issue,Importance
results_ktlint_None_no-unused-imports,0.00169547
results_ktlint_None_indent,0.06260931
results_ktlint_None_final-newline,0.02178370
results_ktlint_None_no-multi-spaces,0.00522742
results_ktlint_None_comma-spacing,-0.00065353
results_ktlint_None_parameter-list-wrapping,0.03956624
results_ktlint_None_no-unit-return,-0.00073227
results_ktlint_None_no-trailing-spaces,0.01662509
results_ktlint_None_curly-spacing,0.01237136
results_ktlint_None_import-ordering,0.07268115
results_ktlint_None_no-wildcard-imports,0.07110519
results_ktlint_None_no-consecutive-blank-lines,0.00174927
results_ktlint_None_comment-spacing,0.00823004
results_ktlint_None_string-template,-0.00027840
results_ktlint_None_keyword-spacing,0.00770826
results_ktlint_None_colon-spacing,-0.00036490
results_ktlint_None_chain-wrapping,0.00854894
results_ktlint_None_no-blank-line-before-rbrace,-0.00193736
results_ktlint_None_op-spacing,0.00606771
results_ktlint_None_no-semi,0.01923285
results_ktlint_None_paren-spacing,0.02068051
results_ktlint_None_modifier-order,0.00000000
results_ktlint_None_no-empty-class-body,-0.00000653
results_ktlint_None_no-line-break-before-assignment,-0.00039559
results_ktlint_None_,0.00146276
results_ktlint_None_dot-spacing,-0.00001577
results_ktlint_None_range-spacing,0.00000000
results_ktlint_None_no-line-break-after-else,0.00000000
