Predicted,Actual
2045829.8877,4709.0000
1221480.7998,71375.0000
1174019.0529,741.0000
1317823.9999,13482.0000
1192492.4854,5439011.0000
1174019.0529,248434.0000
4110240.5996,788007.0000
1174019.0529,1933.0000
1756401.6609,5497769.0000
1174019.0529,10022.0000
1783957.4545,17270.0000
1317823.9999,24468.0000
2931087.3731,5164452.0000
1174019.0529,368093.0000
1408758.6647,117229.0000
1221480.7998,808372.0000
1221480.7998,406037.0000
2078358.9808,250048.0000
1174019.0529,695621.0000
2005729.3637,701937.0000
973768.4096,2043.0000
1174019.0529,63545.0000
1174019.0529,641.0000
36026643.1558,56580262.0000
1174019.0529,38700.0000
1698782.0003,360837.0000
1317823.9999,14134.0000
1174019.0529,513.0000
2700550.5796,245713.0000
973768.4096,795018.0000
994619.6706,1926.0000
1174019.0529,5946.0000
1174019.0529,18383.0000
2652564.6438,1170022.0000
1174019.0529,8532.0000
1317823.9999,27235.0000
1397268.7171,17149.0000
1174019.0529,25749.0000
1221480.7998,1656.0000
1174019.0529,3929.0000
1711622.2826,10095.0000
1174019.0529,54172.0000
994619.6706,78655.0000
2310244.9279,172379.0000
633395.9857,88867.0000
1221480.7998,115154.0000
973768.4096,76061.0000
1174019.0529,1209581.0000
1317823.9999,33309.0000
1317823.9999,161536.0000
1454640.8040,856237.0000
994619.6706,3204.0000
1174019.0529,62648.0000
1174019.0529,1817821.0000
1174019.0529,3741.0000
1174019.0529,301989.0000
1174019.0529,71567.0000
1174019.0529,9749042.0000
1174019.0529,267371.0000
1317823.9999,53860.0000
1174019.0529,94531.0000
1609009.3080,1040113.0000
1174019.0529,158641.0000
1317823.9999,895.0000
1687736.3307,66301.0000
1221480.7998,819545.0000
973768.4096,261.0000
1339517.7593,224100.0000
1317823.9999,2558581.0000
1158654.3083,10929.0000
1174019.0529,24573.0000
1326998.8706,2444.0000
1174019.0529,588454.0000
1818051.7293,432791.0000
1174019.0529,29409.0000
1174019.0529,527203.0000
2218947.7095,8235.0000
25008675.3189,47108953.0000
1174019.0529,2423.0000
1145030.7385,4333113.0000
1342844.3475,410024.0000
1317823.9999,1286.0000
1174019.0529,268820.0000
1221480.7998,6190.0000
1174019.0529,12284.0000
1174019.0529,13685.0000
4792449.5555,511383.0000
1317823.9999,182586.0000
1174019.0529,87548.0000
1174019.0529,434550.0000
1174019.0529,373013.0000
1192492.4854,127638.0000
1426257.0315,6983.0000
1925218.0181,242940.0000
1174019.0529,1538.0000
973768.4096,27497.0000
973768.4096,93055.0000
495849.8157,1263.0000
1752814.2550,274599.0000
2076472.5803,1566715.0000
567691.8089,16985173.0000
1174019.0529,2897226.0000
1174019.0529,236461.0000
1063577.5100,275544.0000
734028.5155,71.0000
1410778.6442,3950785.0000
1426257.0315,431217.0000
1174019.0529,498.0000
1174019.0529,80498.0000
1783758.1941,349565.0000
1174019.0529,1505479.0000
1083916.4150,18420973.0000
1317823.9999,10952.0000
2475750.3166,159585.0000
1711622.2826,8537713.0000
1174019.0529,433299.0000
1712100.7738,106561.0000
1174019.0529,83283.0000
1752814.2550,1675325.0000
1795125.2004,792093.0000
1317823.9999,1039.0000
1174019.0529,88634.0000
1174019.0529,11979359.0000
1221480.7998,346676.0000
867633.3407,23318.0000
1174019.0529,4905.0000
994619.6706,188786.0000
1357961.7395,110636.0000
1317823.9999,16666.0000
1174019.0529,9840.0000
1174019.0529,5457.0000
1174019.0529,3101536.0000
1174019.0529,82868.0000
1753627.1564,6651671.0000
1174019.0529,386.0000
2439972.5478,5101542.0000
1174019.0529,269269.0000
851653.6208,1785.0000
1087215.2645,4500019.0000
1174019.0529,64862.0000
973768.4096,104.0000
1174019.0529,4026.0000
-329668.4604,4484050.0000
973768.4096,6326.0000
973768.4096,11198.0000
2006150.1921,1977854.0000
973768.4096,13840.0000
1174019.0529,622098.0000
1174019.0529,846196.0000
1086662.3109,1884646.0000
1995553.2503,4123581.0000
973768.4096,8429.0000
1609009.3080,69518.0000
1174019.0529,58817.0000
