Issue,Importance
results_ktlint_None_no-unused-imports,-0.00605838
results_ktlint_None_indent,0.06799119
results_ktlint_None_final-newline,0.05417757
results_ktlint_None_no-multi-spaces,0.00402318
results_ktlint_None_comma-spacing,0.00206001
results_ktlint_None_parameter-list-wrapping,-0.00127068
results_ktlint_None_no-unit-return,-0.00474455
results_ktlint_None_no-trailing-spaces,0.01249484
results_ktlint_None_curly-spacing,0.00950400
results_ktlint_None_import-ordering,0.10728863
results_ktlint_None_no-wildcard-imports,0.05747308
results_ktlint_None_no-consecutive-blank-lines,0.00512606
results_ktlint_None_comment-spacing,0.00626413
results_ktlint_None_string-template,-0.00028957
results_ktlint_None_keyword-spacing,0.00233300
results_ktlint_None_colon-spacing,-0.00066323
results_ktlint_None_chain-wrapping,-0.00032465
results_ktlint_None_no-blank-line-before-rbrace,0.00219608
results_ktlint_None_op-spacing,0.00196748
results_ktlint_None_no-semi,0.00769170
results_ktlint_None_paren-spacing,0.02993996
results_ktlint_None_modifier-order,-0.00358849
results_ktlint_None_no-empty-class-body,0.00077759
results_ktlint_None_no-line-break-before-assignment,0.00014684
results_ktlint_None_,-0.00472798
results_ktlint_None_dot-spacing,0.00000000
results_ktlint_None_range-spacing,0.00000000
results_ktlint_None_no-line-break-after-else,0.00000000
