Predicted,Actual
1480858.5215,4709.0000
1480858.5215,71375.0000
1480858.5215,741.0000
1480858.5215,13482.0000
1448249.2268,5439011.0000
1383199.4141,248434.0000
2436708.5279,788007.0000
1480858.5215,1933.0000
1480858.5215,5497769.0000
1480858.5215,10022.0000
1480858.5215,17270.0000
1480858.5215,24468.0000
905775.2353,5164452.0000
1480858.5215,368093.0000
1033532.1692,117229.0000
1480858.5215,808372.0000
1480858.5215,406037.0000
1480858.5215,250048.0000
1480858.5215,695621.0000
1480858.5215,701937.0000
1077012.1856,2043.0000
1480858.5215,63545.0000
1480858.5215,641.0000
43858098.5596,56580262.0000
1480858.5215,38700.0000
1849524.4144,360837.0000
1480858.5215,14134.0000
1480858.5215,513.0000
2062595.2003,245713.0000
1077012.1856,795018.0000
1480858.5215,1926.0000
1480858.5215,5946.0000
1480858.5215,18383.0000
5373524.6375,1170022.0000
1480858.5215,8532.0000
957092.1481,27235.0000
1448249.2268,17149.0000
1480858.5215,25749.0000
1480858.5215,1656.0000
1480858.5215,3929.0000
2084188.6593,10095.0000
1480858.5215,54172.0000
1480858.5215,78655.0000
1077012.1856,172379.0000
494809.8101,88867.0000
1480858.5215,115154.0000
1077012.1856,76061.0000
1480858.5215,1209581.0000
1480858.5215,33309.0000
1480858.5215,161536.0000
881066.6469,856237.0000
1480858.5215,3204.0000
1480858.5215,62648.0000
1480858.5215,1817821.0000
1480858.5215,3741.0000
1480858.5215,301989.0000
1480858.5215,71567.0000
1480858.5215,9749042.0000
1480858.5215,267371.0000
1480858.5215,53860.0000
1480858.5215,94531.0000
1480858.5215,1040113.0000
1480858.5215,158641.0000
1480858.5215,895.0000
688282.4973,66301.0000
1480858.5215,819545.0000
1077012.1856,261.0000
1467135.8445,224100.0000
1480858.5215,2558581.0000
2062595.2003,10929.0000
1480858.5215,24573.0000
702704.5533,2444.0000
1480858.5215,588454.0000
1480858.5215,432791.0000
1480858.5215,29409.0000
1480858.5215,527203.0000
1480858.5215,8235.0000
21914033.3459,47108953.0000
1480858.5215,2423.0000
1448249.2268,4333113.0000
1480858.5215,410024.0000
1480858.5215,1286.0000
1480858.5215,268820.0000
1480858.5215,6190.0000
1480858.5215,12284.0000
1480858.5215,13685.0000
4694374.7098,511383.0000
1480858.5215,182586.0000
1480858.5215,87548.0000
1480858.5215,434550.0000
1480858.5215,373013.0000
1448249.2268,127638.0000
1480858.5215,6983.0000
2706846.6301,242940.0000
3083078.5544,1538.0000
1077012.1856,27497.0000
1077012.1856,93055.0000
92981.4923,1263.0000
1480858.5215,274599.0000
1480858.5215,1566715.0000
1894859.3682,16985173.0000
1480858.5215,2897226.0000
1480858.5215,236461.0000
1382572.0902,275544.0000
1030083.9216,71.0000
1189436.1013,3950785.0000
1480858.5215,431217.0000
1480858.5215,498.0000
1480858.5215,80498.0000
1333738.3704,349565.0000
1480858.5215,1505479.0000
1151435.4089,18420973.0000
1480858.5215,10952.0000
1480858.5215,159585.0000
1871117.8734,8537713.0000
1480858.5215,433299.0000
1673865.5120,106561.0000
1480858.5215,83283.0000
1480858.5215,1675325.0000
2062595.2003,792093.0000
1480858.5215,1039.0000
1480858.5215,88634.0000
1480858.5215,11979359.0000
1383199.4141,346676.0000
793029.3735,23318.0000
1480858.5215,4905.0000
1480858.5215,188786.0000
1333738.3704,110636.0000
1480858.5215,16666.0000
1480858.5215,9840.0000
1480858.5215,5457.0000
1480858.5215,3101536.0000
1480858.5215,82868.0000
1480858.5215,6651671.0000
1480858.5215,386.0000
1480858.5215,5101542.0000
1480858.5215,269269.0000
1101197.1858,1785.0000
1480858.5215,4500019.0000
1480858.5215,64862.0000
1033532.1692,104.0000
1480858.5215,4026.0000
2501813.9630,4484050.0000
1077012.1856,6326.0000
1077012.1856,11198.0000
1480858.5215,1977854.0000
1077012.1856,13840.0000
1480858.5215,622098.0000
1480858.5215,846196.0000
2645348.3107,1884646.0000
1383199.4141,4123581.0000
1077012.1856,8429.0000
1480858.5215,69518.0000
1480858.5215,58817.0000
1480858.5215,80733.0000
1480858.5215,308179.0000
1480858.5215,36509.0000
2088826.7710,20735.0000
1480858.5215,2135.0000
1948509.3166,1127186.0000
1480858.5215,229401.0000
1480858.5215,286.0000
2062595.2003,7812360.0000
1434526.5499,617314.0000
2062595.2003,3737138.0000
1480858.5215,527245.0000
1480858.5215,193664.0000
