Issue,Importance
results_ktlint_None_no-unused-imports,0.00664018
results_ktlint_None_indent,0.21779097
results_ktlint_None_final-newline,0.05443885
results_ktlint_None_no-multi-spaces,0.02144795
results_ktlint_None_comma-spacing,0.00260708
results_ktlint_None_parameter-list-wrapping,0.05769236
results_ktlint_None_no-unit-return,0.00009334
results_ktlint_None_no-trailing-spaces,0.00458242
results_ktlint_None_curly-spacing,0.01980912
results_ktlint_None_import-ordering,-0.15156267
results_ktlint_None_no-wildcard-imports,0.02903242
results_ktlint_None_no-consecutive-blank-lines,-0.19814877
results_ktlint_None_comment-spacing,0.00090473
results_ktlint_None_string-template,-0.00042468
results_ktlint_None_keyword-spacing,0.00176987
results_ktlint_None_colon-spacing,0.00359285
results_ktlint_None_chain-wrapping,0.05351211
results_ktlint_None_no-blank-line-before-rbrace,0.02405908
results_ktlint_None_op-spacing,0.00447802
results_ktlint_None_no-semi,-0.00080725
results_ktlint_None_paren-spacing,-0.00529637
results_ktlint_None_modifier-order,0.00276852
results_ktlint_None_no-empty-class-body,0.00015449
results_ktlint_None_no-line-break-before-assignment,0.00015604
results_ktlint_None_,0.00021058
results_ktlint_None_dot-spacing,-0.00051862
results_ktlint_None_range-spacing,0.00071208
results_ktlint_None_no-line-break-after-else,0.00000000
