Predicted,Actual
1400151.2417,4709.0000
1400151.2417,71375.0000
1400151.2417,741.0000
1400151.2417,13482.0000
1817129.4298,5439011.0000
1464227.7984,248434.0000
5979436.3115,788007.0000
1400151.2417,1933.0000
1400151.2417,5497769.0000
1400151.2417,10022.0000
1400151.2417,17270.0000
1400151.2417,24468.0000
11930668.8109,5164452.0000
1400151.2417,368093.0000
1647800.3735,117229.0000
2523573.8087,808372.0000
1400151.2417,406037.0000
1400151.2417,250048.0000
1400151.2417,695621.0000
1400151.2417,701937.0000
1605225.0465,2043.0000
1400151.2417,63545.0000
1400151.2417,641.0000
31700644.3080,56580262.0000
1400151.2417,38700.0000
1490882.0629,360837.0000
1400151.2417,14134.0000
1400151.2417,513.0000
1426805.5063,245713.0000
1407555.6464,795018.0000
1400151.2417,1926.0000
1400151.2417,5946.0000
1400151.2417,18383.0000
2281749.4927,1170022.0000
1400151.2417,8532.0000
1235518.4562,27235.0000
1608640.3358,17149.0000
1400151.2417,25749.0000
1400151.2417,1656.0000
1400151.2417,3929.0000
1757746.2288,10095.0000
1400151.2417,54172.0000
1400151.2417,78655.0000
1411257.8488,172379.0000
251506.4838,88867.0000
1400151.2417,115154.0000
1403853.4441,76061.0000
1400151.2417,1209581.0000
1400151.2417,33309.0000
1400151.2417,161536.0000
2260385.7876,856237.0000
1400151.2417,3204.0000
1571757.0673,62648.0000
1400151.2417,1817821.0000
1400151.2417,3741.0000
1400151.2417,301989.0000
1400151.2417,71567.0000
1400151.2417,9749042.0000
1400151.2417,267371.0000
1400151.2417,53860.0000
1400151.2417,94531.0000
1400151.2417,1040113.0000
1400151.2417,158641.0000
1400151.2417,895.0000
1512971.6429,66301.0000
1400151.2417,819545.0000
1403853.4441,261.0000
1551380.9038,224100.0000
1400151.2417,2558581.0000
1426805.5063,10929.0000
1400151.2417,24573.0000
1212985.4074,2444.0000
1571757.0673,588454.0000
1400151.2417,432791.0000
1400151.2417,29409.0000
1400151.2417,527203.0000
1400151.2417,8235.0000
42479878.8578,47108953.0000
1400151.2417,2423.0000
1608640.3358,4333113.0000
1400151.2417,410024.0000
1400151.2417,1286.0000
1400151.2417,268820.0000
1400151.2417,6190.0000
1400151.2417,12284.0000
1400151.2417,13685.0000
3979424.4943,511383.0000
1400151.2417,182586.0000
1400151.2417,87548.0000
1400151.2417,434550.0000
1400151.2417,373013.0000
1817129.4298,127638.0000
1400151.2417,6983.0000
3766744.9339,242940.0000
1784610.5817,1538.0000
1418662.2535,27497.0000
1402002.3429,93055.0000
662716.3737,1263.0000
1400151.2417,274599.0000
1400151.2417,1566715.0000
5951161.0142,16985173.0000
1400151.2417,2897226.0000
1400151.2417,236461.0000
1660341.9380,275544.0000
1371683.7979,71.0000
1061257.0191,3950785.0000
1400151.2417,431217.0000
1400151.2417,498.0000
1400151.2417,80498.0000
1543640.0866,349565.0000
1400151.2417,1505479.0000
4657197.3520,18420973.0000
1400151.2417,10952.0000
1400151.2417,159585.0000
1803462.8316,8537713.0000
1400151.2417,433299.0000
1245288.1518,106561.0000
1400151.2417,83283.0000
1400151.2417,1675325.0000
1426805.5063,792093.0000
1400151.2417,1039.0000
1400151.2417,88634.0000
1400151.2417,11979359.0000
1464227.7984,346676.0000
1114750.4087,23318.0000
1400151.2417,4905.0000
1400151.2417,188786.0000
1343917.2803,110636.0000
1400151.2417,16666.0000
1400151.2417,9840.0000
1400151.2417,5457.0000
1400151.2417,3101536.0000
1400151.2417,82868.0000
1400151.2417,6651671.0000
1400151.2417,386.0000
1400151.2417,5101542.0000
1400151.2417,269269.0000
364455.5751,1785.0000
1400151.2417,4500019.0000
1400151.2417,64862.0000
1470493.0864,104.0000
1400151.2417,4026.0000
2594348.0544,4484050.0000
1427917.7594,6326.0000
1402002.3429,11198.0000
1400151.2417,1977854.0000
1409406.7476,13840.0000
1400151.2417,622098.0000
1400151.2417,846196.0000
1952285.9621,1884646.0000
1733657.0865,4123581.0000
1427917.7594,8429.0000
1400151.2417,69518.0000
1400151.2417,58817.0000
1400151.2417,80733.0000
1400151.2417,308179.0000
1400151.2417,36509.0000
2477616.1652,20735.0000
1400151.2417,2135.0000
1368100.9679,1127186.0000
1400151.2417,229401.0000
1400151.2417,286.0000
1426805.5063,7812360.0000
1751225.1576,617314.0000
1426805.5063,3737138.0000
1400151.2417,527245.0000
1400151.2417,193664.0000
1464227.7984,4315.0000
1400151.2417,1787281.0000
1400151.2417,174184.0000
1416811.1523,11643.0000
1400151.2417,6032.0000
1400151.2417,14359435.0000
1400151.2417,218878.0000
1405704.5453,98981.0000
1400151.2417,6478.0000
1400151.2417,1918.0000
1400151.2417,987.0000
1400151.2417,40972.0000
1400151.2417,104358.0000
1400151.2417,3417.0000
1400151.2417,1543.0000
1400151.2417,504.0000
1974017.9434,112049.0000
965166.1098,696074.0000
1400151.2417,58.0000
1571757.0673,153991.0000
1400151.2417,5122.0000
2123700.1747,31408.0000
1400151.2417,1023798.0000
1400151.2417,37368768.0000
1400151.2417,985.0000
1400151.2417,119876.0000
444979.8644,704.0000
1400151.2417,93179.0000
1400151.2417,5023.0000
1400151.2417,924.0000
1400151.2417,81002.0000
5128944.1795,565419.0000
1400151.2417,64636.0000
1198929.2482,52037.0000
1400151.2417,203876.0000
1400151.2417,12188.0000
1400151.2417,17.0000
1400151.2417,6938.0000
1403853.4441,6561.0000
1400151.2417,154804.0000
1400151.2417,1670604.0000
2047033.7448,78783.0000
1400151.2417,6439.0000
1400151.2417,30141.0000
1402002.3429,167563.0000
1292600.1444,185896.0000
1400151.2417,10411788.0000
1400151.2417,350702.0000
1400151.2417,1527.0000
1400151.2417,1582458.0000
1752062.5743,18946.0000
1400151.2417,1034.0000
1400151.2417,1288350.0000
1400151.2417,69378.0000
1458908.2720,409956.0000
1400151.2417,1405.0000
1411257.8488,16.0000
1400151.2417,498900.0000
1400151.2417,122501.0000
1400151.2417,431414.0000
1400151.2417,12786671.0000
1400151.2417,86150.0000
1407555.6464,1161470.0000
1400151.2417,58462.0000
31508859.5760,37412558.0000
1400151.2417,3057650.0000
1400151.2417,586784.0000
1400151.2417,153.0000
1400151.2417,2999842.0000
1400151.2417,1405329.0000
1571757.0673,1294.0000
1422364.4558,2055714.0000
3630772.2802,633246.0000
1400151.2417,1019577.0000
1571757.0673,19992.0000
1796906.0719,28546014.0000
1426805.5063,6644714.0000
1400151.2417,78617.0000
1594232.0129,330584.0000
1400151.2417,11515.0000
1426805.5063,1039183.0000
1400151.2417,2109.0000
1400151.2417,143627.0000
4386447.7841,612.0000
1409406.7476,70850.0000
1400151.2417,79700.0000
1400151.2417,66286.0000
1400151.2417,47613.0000
1400151.2417,1873462.0000
1400151.2417,39853.0000
1405704.5453,1503.0000
1400151.2417,3713731.0000
5000093.3101,1883144.0000
1400151.2417,132636.0000
1400151.2417,412904.0000
1573756.3265,5279.0000
1400151.2417,38.0000
1400151.2417,129239.0000
1400151.2417,20328.0000
1872182.0411,5.0000
1400151.2417,5100.0000
30019407.2111,24936217.0000
1400151.2417,705.0000
1517536.3274,412718.0000
1400151.2417,32983.0000
1400151.2417,3972824.0000
1400151.2417,111116.0000
1400151.2417,11732.0000
1400151.2417,3854.0000
1400151.2417,9737.0000
1536371.3841,212822.0000
1400151.2417,250145.0000
1571757.0673,1462194.0000
1268471.3810,132193.0000
1400151.2417,79394.0000
1567589.5549,59806.0000
-337710.6545,678.0000
1400151.2417,224328.0000
1400151.2417,77176.0000
1400151.2417,2587.0000
1400151.2417,32589.0000
1400151.2417,641.0000
1400151.2417,514860.0000
1400151.2417,99240.0000
1400151.2417,1641.0000
1400151.2417,28584.0000
1433264.0265,139457.0000
5129866.8603,1254228.0000
2593502.6367,1042803.0000
2045467.4353,405085.0000
1400151.2417,37841.0000
1400151.2417,18871.0000
3792223.2074,68812.0000
1400151.2417,251456.0000
1400151.2417,27189.0000
67520284.4826,111766538.0000
1402002.3429,2108.0000
1403853.4441,6642996.0000
1400151.2417,228934.0000
1400151.2417,1091122.0000
1400151.2417,2158.0000
1400151.2417,2946907.0000
7015037.0644,13979.0000
1608640.3358,1281565.0000
1400151.2417,66584.0000
1802248.8377,533051.0000
1400151.2417,30993262.0000
17199155.8459,57795267.0000
1400151.2417,17685.0000
1400151.2417,1423.0000
1400151.2417,22382.0000
1400151.2417,123363.0000
1400151.2417,157777.0000
1495795.6920,500.0000
1608640.3358,27643.0000
1400151.2417,15580.0000
1400151.2417,194.0000
1522449.9565,161230.0000
1400151.2417,3186492.0000
9958333.6184,44.0000
1400151.2417,7957.0000
1608640.3358,144643.0000
1464227.7984,25292.0000
1400151.2417,21727.0000
1400151.2417,1048.0000
1405704.5453,3716.0000
1571757.0673,77329.0000
1372034.2610,2530.0000
1328758.0078,852362.0000
1400151.2417,95444.0000
1608640.3358,83785.0000
1400151.2417,2373971.0000
1400151.2417,16514.0000
1400151.2417,74996.0000
1407555.6464,416077.0000
1400151.2417,2755.0000
1400151.2417,620.0000
1577856.9545,38252.0000
1400151.2417,9121.0000
1400151.2417,490279.0000
1400151.2417,1420.0000
1400151.2417,403086.0000
1400151.2417,1248.0000
1400151.2417,187910.0000
20620003.7043,3163.0000
1400151.2417,1658324.0000
1400151.2417,683922.0000
4802467.4202,402.0000
1400151.2417,2076.0000
1400151.2417,15011.0000
1400151.2417,25859.0000
1373885.3622,347361.0000
1517941.9097,106135.0000
1400151.2417,2772.0000
1142820.8048,30401.0000
1400151.2417,3871.0000
1400151.2417,144716.0000
1400151.2417,83102.0000
1400151.2417,9104.0000
2094571.5809,56826.0000
1400151.2417,55790.0000
1400151.2417,477.0000
1400151.2417,41286.0000
13937789.8366,6215964.0000
1400151.2417,279.0000
1400151.2417,5389.0000
1400151.2417,19.0000
1400151.2417,43891.0000
1400151.2417,7839.0000
1400151.2417,9056.0000
1400151.2417,1505.0000
1400151.2417,19394.0000
1571757.0673,12324458.0000
1400151.2417,45263.0000
1422364.4558,1344709.0000
1400151.2417,16235.0000
1405704.5453,6487.0000
1402002.3429,771.0000
1400151.2417,1420342.0000
1400151.2417,143021.0000
2948240.3085,7255764.0000
1400151.2417,1444.0000
1400151.2417,6765.0000
1400151.2417,262859.0000
1573756.3265,229891.0000
1400151.2417,509701.0000
1608640.3358,324855.0000
1608640.3358,68459.0000
1400151.2417,323981.0000
1400151.2417,136884.0000
1405704.5453,8712.0000
1400151.2417,1644886.0000
2231528.0628,791786.0000
1400151.2417,245602.0000
1608640.3358,586089.0000
1400151.2417,745529.0000
1400151.2417,54106.0000
1400151.2417,1484515.0000
1791352.7684,28915546.0000
1400151.2417,1044499.0000
1400151.2417,43292.0000
5849643.4490,174635.0000
2281749.4927,18622326.0000
1400151.2417,5792098.0000
1400151.2417,47582.0000
1400151.2417,10166.0000
1400151.2417,175777.0000
1400151.2417,79370.0000
1400151.2417,442128.0000
1400151.2417,3715306.0000
1400151.2417,201486.0000
1508753.4002,284.0000
2306015.9025,167441.0000
1523428.2104,83329.0000
1191825.8271,31961.0000
1400151.2417,1532.0000
