Predicted,Actual
1475401.7059,4709.0000
1475401.7059,71375.0000
1475401.7059,741.0000
1475401.7059,13482.0000
1917630.1007,5439011.0000
1705339.7155,248434.0000
1654085.1700,788007.0000
1475401.7059,1933.0000
1475401.7059,5497769.0000
1475401.7059,10022.0000
1475401.7059,17270.0000
1475401.7059,24468.0000
8190202.2867,5164452.0000
1475401.7059,368093.0000
1167719.3267,117229.0000
3436949.8233,808372.0000
1475401.7059,406037.0000
1475401.7059,250048.0000
1475401.7059,695621.0000
1475401.7059,701937.0000
172041.4300,2043.0000
1475401.7059,63545.0000
1475401.7059,641.0000
34179814.3800,56580262.0000
1475401.7059,38700.0000
912068.1634,360837.0000
1475401.7059,14134.0000
1475401.7059,513.0000
3612896.7979,245713.0000
608474.8168,795018.0000
1475401.7059,1926.0000
1475401.7059,5946.0000
1475401.7059,18383.0000
7643292.9961,1170022.0000
1475401.7059,8532.0000
196886.7791,27235.0000
1562577.3321,17149.0000
1475401.7059,25749.0000
1475401.7059,1656.0000
1475401.7059,3929.0000
1951521.1000,10095.0000
1475401.7059,54172.0000
1475401.7059,78655.0000
1630066.9129,172379.0000
361996.1200,88867.0000
1475401.7059,115154.0000
584977.0493,76061.0000
1475401.7059,1209581.0000
1475401.7059,33309.0000
1475401.7059,161536.0000
2235912.7050,856237.0000
1475401.7059,3204.0000
1075785.6110,62648.0000
1475401.7059,1817821.0000
1475401.7059,3741.0000
1475401.7059,301989.0000
1475401.7059,71567.0000
1475401.7059,9749042.0000
1475401.7059,267371.0000
1475401.7059,53860.0000
1475401.7059,94531.0000
1475401.7059,1040113.0000
1475401.7059,158641.0000
1475401.7059,895.0000
1953495.9642,66301.0000
1475401.7059,819545.0000
584977.0493,261.0000
738635.3400,224100.0000
1475401.7059,2558581.0000
3612896.7979,10929.0000
1475401.7059,24573.0000
5927703.2100,2444.0000
1075785.6110,588454.0000
1475401.7059,432791.0000
1475401.7059,29409.0000
1475401.7059,527203.0000
1475401.7059,8235.0000
33680942.7950,47108953.0000
1475401.7059,2423.0000
1562577.3321,4333113.0000
1475401.7059,410024.0000
1475401.7059,1286.0000
1475401.7059,268820.0000
1475401.7059,6190.0000
1475401.7059,12284.0000
1475401.7059,13685.0000
6606512.9307,511383.0000
1475401.7059,182586.0000
1475401.7059,87548.0000
1475401.7059,434550.0000
1475401.7059,373013.0000
1917630.1007,127638.0000
1475401.7059,6983.0000
1504347.3500,242940.0000
6928442.7729,1538.0000
1102728.1181,27497.0000
545953.8561,93055.0000
38893.4200,1263.0000
1475401.7059,274599.0000
1475401.7059,1566715.0000
1584019.1800,16985173.0000
1475401.7059,2897226.0000
1475401.7059,236461.0000
188963.4213,275544.0000
144125.4675,71.0000
1630243.7724,3950785.0000
1475401.7059,431217.0000
1475401.7059,498.0000
1475401.7059,80498.0000
519993.1762,349565.0000
1475401.7059,1505479.0000
782660.2167,18420973.0000
1475401.7059,10952.0000
1475401.7059,159585.0000
8869931.7725,8537713.0000
1475401.7059,433299.0000
3644174.8854,106561.0000
1475401.7059,83283.0000
1475401.7059,1675325.0000
3612896.7979,792093.0000
1475401.7059,1039.0000
1475401.7059,88634.0000
1475401.7059,11979359.0000
1705339.7155,346676.0000
567794.9040,23318.0000
1475401.7059,4905.0000
1475401.7059,188786.0000
109810.7727,110636.0000
1475401.7059,16666.0000
1475401.7059,9840.0000
1475401.7059,5457.0000
1475401.7059,3101536.0000
1475401.7059,82868.0000
1475401.7059,6651671.0000
1475401.7059,386.0000
