Issue,Importance
results_ktlint_None_no-unused-imports,0.01604503
results_ktlint_None_indent,0.07140103
results_ktlint_None_final-newline,0.00944721
results_ktlint_None_no-multi-spaces,-0.00823366
results_ktlint_None_comma-spacing,0.01918474
results_ktlint_None_parameter-list-wrapping,0.25978650
results_ktlint_None_no-unit-return,0.03115741
results_ktlint_None_no-trailing-spaces,0.00116534
results_ktlint_None_curly-spacing,-0.01498734
results_ktlint_None_import-ordering,0.00624265
results_ktlint_None_no-wildcard-imports,0.03190263
results_ktlint_None_no-consecutive-blank-lines,0.00632766
results_ktlint_None_comment-spacing,0.05533721
results_ktlint_None_string-template,0.00008542
results_ktlint_None_keyword-spacing,-0.00461163
results_ktlint_None_colon-spacing,0.01397675
results_ktlint_None_chain-wrapping,0.03266996
results_ktlint_None_no-blank-line-before-rbrace,0.00952272
results_ktlint_None_op-spacing,0.02201402
results_ktlint_None_no-semi,0.01914921
results_ktlint_None_paren-spacing,0.01157231
results_ktlint_None_modifier-order,0.00000550
results_ktlint_None_no-empty-class-body,0.00421948
results_ktlint_None_no-line-break-before-assignment,-0.00022267
results_ktlint_None_,0.02958115
results_ktlint_None_dot-spacing,0.00254130
results_ktlint_None_range-spacing,-0.00001326
results_ktlint_None_no-line-break-after-else,0.00000000
