Predicted,Actual
4854227.0000,4709.0000
152379.3333,71375.0000
1018749.9379,741.0000
2838249.1154,13482.0000
208315.6667,5439011.0000
1018749.9379,248434.0000
1018749.9379,788007.0000
1018749.9379,1933.0000
520750.0000,5497769.0000
1018749.9379,10022.0000
2784073.0000,17270.0000
913277.0290,24468.0000
62597873.0000,5164452.0000
1018749.9379,368093.0000
1822632.7778,117229.0000
125072.0000,808372.0000
152379.3333,406037.0000
9334470.0000,250048.0000
1018749.9379,695621.0000
85650.0000,701937.0000
1018749.9379,2043.0000
1018749.9379,63545.0000
1018749.9379,641.0000
117.0000,56580262.0000
1599047.8974,38700.0000
9216.0000,360837.0000
607292.0513,14134.0000
1018749.9379,513.0000
3257.0000,245713.0000
1018749.9379,795018.0000
14168.0000,1926.0000
1018749.9379,5946.0000
1018749.9379,18383.0000
5116558.0000,1170022.0000
1018749.9379,8532.0000
587488.0000,27235.0000
5655540.0000,17149.0000
1018749.9379,25749.0000
121247.5000,1656.0000
1018749.9379,3929.0000
1018749.9379,10095.0000
1018749.9379,54172.0000
37531.0000,78655.0000
351341.0000,172379.0000
1018749.9379,88867.0000
43151.8000,115154.0000
1018749.9379,76061.0000
928869.5600,1209581.0000
2418939.9592,33309.0000
607292.0513,161536.0000
15705290.0000,856237.0000
4179.0000,3204.0000
1018749.9379,62648.0000
1018749.9379,1817821.0000
1345564.5000,3741.0000
1018749.9379,301989.0000
1018749.9379,71567.0000
1018749.9379,9749042.0000
1018749.9379,267371.0000
913277.0290,53860.0000
1018749.9379,94531.0000
102083.0000,1040113.0000
1018749.9379,158641.0000
913277.0290,895.0000
348817.5000,66301.0000
47737.0000,819545.0000
1018749.9379,261.0000
1018749.9379,224100.0000
1630207.4400,2558581.0000
1567364.0000,10929.0000
1018749.9379,24573.0000
56567.0000,2444.0000
1018749.9379,588454.0000
9682066.0000,432791.0000
1018749.9379,29409.0000
1018749.9379,527203.0000
5278928.0000,8235.0000
33669246.0000,47108953.0000
1018749.9379,2423.0000
1018749.9379,4333113.0000
2492290.1429,410024.0000
1466083.0353,1286.0000
1018749.9379,268820.0000
68980.6667,6190.0000
1018749.9379,12284.0000
1018749.9379,13685.0000
1018749.9379,511383.0000
1466083.0353,182586.0000
1018749.9379,87548.0000
1018749.9379,434550.0000
1018749.9379,373013.0000
5698277.0000,127638.0000
29790.0000,6983.0000
1822632.7778,242940.0000
1018749.9379,1538.0000
1018749.9379,27497.0000
1599047.8974,93055.0000
1018749.9379,1263.0000
293199.0000,274599.0000
16055.0000,1566715.0000
911468.1429,16985173.0000
1018749.9379,2897226.0000
1018749.9379,236461.0000
4029786.6667,275544.0000
1018749.9379,71.0000
1513997.7500,3950785.0000
629585.0000,431217.0000
1018749.9379,498.0000
1018749.9379,80498.0000
252433.0000,349565.0000
1018749.9379,1505479.0000
1018749.9379,18420973.0000
1466083.0353,10952.0000
738.0000,159585.0000
1599047.8974,8537713.0000
1018749.9379,433299.0000
607292.0513,106561.0000
1018749.9379,83283.0000
1709581.0000,1675325.0000
2838249.1154,792093.0000
1466083.0353,1039.0000
1018749.9379,88634.0000
1018749.9379,11979359.0000
176983.0000,346676.0000
1018749.9379,23318.0000
1018749.9379,4905.0000
2041.0000,188786.0000
3393502.5385,110636.0000
1466083.0353,16666.0000
1018749.9379,9840.0000
1018749.9379,5457.0000
1599047.8974,3101536.0000
1018749.9379,82868.0000
756471.6923,6651671.0000
1018749.9379,386.0000
109.0000,5101542.0000
1018749.9379,269269.0000
99335.0000,1785.0000
257892.0000,4500019.0000
1018749.9379,64862.0000
1018749.9379,104.0000
1018749.9379,4026.0000
176508.0000,4484050.0000
1018749.9379,6326.0000
1018749.9379,11198.0000
3344.0000,1977854.0000
1018749.9379,13840.0000
1018749.9379,622098.0000
1018749.9379,846196.0000
2416391.0000,1884646.0000
738.0000,4123581.0000
1018749.9379,8429.0000
1822632.7778,69518.0000
1018749.9379,58817.0000
3393502.5385,80733.0000
777271.0000,308179.0000
1822632.7778,36509.0000
14613615.0000,20735.0000
33669246.0000,2135.0000
102825.0000,1127186.0000
1018749.9379,229401.0000
1826439.6774,286.0000
2418939.9592,7812360.0000
257126.0000,617314.0000
1018749.9379,3737138.0000
1018749.9379,527245.0000
1821.0000,193664.0000
1112104.8571,4315.0000
1195145.8333,1787281.0000
