Issue,Importance
results_ktlint_None_no-unused-imports,0.00009048
results_ktlint_None_indent,0.00255462
results_ktlint_None_final-newline,0.00461267
results_ktlint_None_no-multi-spaces,0.00013138
results_ktlint_None_comma-spacing,-0.00006345
results_ktlint_None_parameter-list-wrapping,0.09689805
results_ktlint_None_no-unit-return,0.00185375
results_ktlint_None_no-trailing-spaces,0.00056939
results_ktlint_None_curly-spacing,-0.00028602
results_ktlint_None_import-ordering,-0.00042819
results_ktlint_None_no-wildcard-imports,-0.00004741
results_ktlint_None_no-consecutive-blank-lines,-0.00423230
results_ktlint_None_comment-spacing,-0.00222314
results_ktlint_None_string-template,-0.00004660
results_ktlint_None_keyword-spacing,0.00354475
results_ktlint_None_colon-spacing,-0.00527449
results_ktlint_None_chain-wrapping,0.01798299
results_ktlint_None_no-blank-line-before-rbrace,0.00294877
results_ktlint_None_op-spacing,0.01316071
results_ktlint_None_no-semi,0.00189060
results_ktlint_None_paren-spacing,0.00019098
results_ktlint_None_modifier-order,-0.00008280
results_ktlint_None_no-empty-class-body,0.00050479
results_ktlint_None_no-line-break-before-assignment,-0.00101472
results_ktlint_None_,0.00219470
results_ktlint_None_dot-spacing,0.00463049
results_ktlint_None_range-spacing,0.00112416
results_ktlint_None_no-line-break-after-else,0.00000000
