Predicted,Actual
6289593.9493,4709.0000
1430020.9307,71375.0000
1475520.4474,741.0000
1466041.3814,13482.0000
1395896.2931,5439011.0000
1475520.4474,248434.0000
1475520.4474,788007.0000
1475520.4474,1933.0000
1644910.4907,5497769.0000
1475520.4474,10022.0000
1509883.1868,17270.0000
1469833.0078,24468.0000
7618055.8819,5164452.0000
1475520.4474,368093.0000
1474592.6636,117229.0000
1386304.5878,808372.0000
1430020.9307,406037.0000
3460493.5994,250048.0000
1475520.4474,695621.0000
1181393.4671,701937.0000
1475520.4474,2043.0000
1475520.4474,63545.0000
1475520.4474,641.0000
3366677.9244,56580262.0000
1533497.1655,38700.0000
2648943.2428,360837.0000
1464145.5682,14134.0000
1475520.4474,513.0000
1186821.7529,245713.0000
1475520.4474,795018.0000
2495438.5830,1926.0000
1475520.4474,5946.0000
1475520.4474,18383.0000
1378496.0564,1170022.0000
1475520.4474,8532.0000
1522122.2863,27235.0000
1257501.9297,17149.0000
1475520.4474,25749.0000
1399687.9195,1656.0000
1475520.4474,3929.0000
1475520.4474,10095.0000
1475520.4474,54172.0000
2909393.2147,78655.0000
2143402.0095,172379.0000
1475520.4474,88867.0000
1437604.1835,115154.0000
1475520.4474,76061.0000
1599990.5833,1209581.0000
1467937.1946,33309.0000
1464145.5682,161536.0000
1042479.8419,856237.0000
1971642.6774,3204.0000
1475520.4474,62648.0000
1475520.4474,1817821.0000
1568201.8084,3741.0000
1475520.4474,301989.0000
1475520.4474,71567.0000
1475520.4474,9749042.0000
1475520.4474,267371.0000
1469833.0078,53860.0000
1475520.4474,94531.0000
1442803.8887,1040113.0000
1475520.4474,158641.0000
1469833.0078,895.0000
1517081.9370,66301.0000
1348500.9632,819545.0000
1475520.4474,261.0000
1475520.4474,224100.0000
1458458.1287,2558581.0000
13956670.2141,10929.0000
1475520.4474,24573.0000
3827898.1820,2444.0000
1475520.4474,588454.0000
3009554.7065,432791.0000
1475520.4474,29409.0000
1475520.4474,527203.0000
1476613.9393,8235.0000
18071219.9403,47108953.0000
1475520.4474,2423.0000
1475520.4474,4333113.0000
1610877.8475,410024.0000
1473624.6342,1286.0000
1475520.4474,268820.0000
1431916.7439,6190.0000
1475520.4474,12284.0000
1475520.4474,13685.0000
1475520.4474,511383.0000
1473624.6342,182586.0000
1475520.4474,87548.0000
1475520.4474,434550.0000
1475520.4474,373013.0000
1253485.0246,127638.0000
1109628.5002,6983.0000
1474592.6636,242940.0000
1475520.4474,1538.0000
1475520.4474,27497.0000
1533497.1655,93055.0000
1475520.4474,1263.0000
1457530.3448,274599.0000
1329290.4167,1566715.0000
1724460.7191,16985173.0000
1475520.4474,2897226.0000
1475520.4474,236461.0000
1356734.5791,275544.0000
1475520.4474,71.0000
1567859.9048,3950785.0000
1190132.7536,431217.0000
1475520.4474,498.0000
1475520.4474,80498.0000
928817.3371,349565.0000
1475520.4474,1505479.0000
1475520.4474,18420973.0000
1473624.6342,10952.0000
1501257.8462,159585.0000
1501708.3906,8537713.0000
1475520.4474,433299.0000
1464145.5682,106561.0000
1475520.4474,83283.0000
1645664.6383,1675325.0000
1466041.3814,792093.0000
1422713.3516,1039.0000
1475520.4474,88634.0000
1475520.4474,11979359.0000
1044580.6667,346676.0000
1475520.4474,23318.0000
1475520.4474,4905.0000
2722602.4489,188786.0000
1472737.0959,110636.0000
1473624.6342,16666.0000
1475520.4474,9840.0000
1475520.4474,5457.0000
1533497.1655,3101536.0000
1475520.4474,82868.0000
1473664.8798,6651671.0000
1475520.4474,386.0000
1360830.2368,5101542.0000
1475520.4474,269269.0000
1468246.0256,1785.0000
9466421.7839,4500019.0000
1475520.4474,64862.0000
1475520.4474,104.0000
1475520.4474,4026.0000
-12416935.3721,4484050.0000
1475520.4474,6326.0000
1475520.4474,11198.0000
2190641.5089,1977854.0000
1475520.4474,13840.0000
1475520.4474,622098.0000
1475520.4474,846196.0000
2698851.6181,1884646.0000
1070292.2381,4123581.0000
1475520.4474,8429.0000
1474592.6636,69518.0000
1475520.4474,58817.0000
1514298.5855,80733.0000
1721812.6183,308179.0000
1474592.6636,36509.0000
1391894.9797,20735.0000
16523058.5055,2135.0000
1578608.6656,1127186.0000
1475520.4474,229401.0000
1460353.9419,286.0000
1467937.1946,7812360.0000
1388716.9315,617314.0000
1475520.4474,3737138.0000
1475520.4474,527245.0000
1688233.6451,193664.0000
1443731.6726,4315.0000
1441395.8099,1787281.0000
1563789.8592,174184.0000
1475520.4474,11643.0000
1439499.9967,6032.0000
992351.8839,14359435.0000
1475520.4474,218878.0000
1438562.1929,98981.0000
2290144.3765,6478.0000
1475520.4474,1918.0000
1475520.4474,987.0000
1450874.8759,40972.0000
1475520.4474,104358.0000
1471728.8210,3417.0000
1475520.4474,1543.0000
1431916.7439,504.0000
1475520.4474,112049.0000
1504943.5847,696074.0000
