Variables;Importance
results_Pylint_warning_unspecified-encoding;-0.0040
results_Pylint_convention_wrong-import-order;-0.0027
results_Pylint_warning_deprecated-decorator;-0.0019
results_Pylint_warning_arguments-out-of-order;-0.0013
results_Pylint_refactor_consider-using-generator;-0.0011
results_Pylint_convention_invalid-name;-0.0003
results_Pylint_convention_unneeded-not;0.0004
results_Pylint_refactor_too-many-public-methods;0.0007
results_Pylint_error_unexpected-keyword-arg;0.0011
results_Pylint_warning_assert-on-tuple;0.0021
results_Pylint_warning_keyword-arg-before-vararg;0.0022
results_Pylint_warning_unnecessary-lambda;0.0023
results_Pylint_convention_superfluous-parens;0.0023
results_Pylint_error_not-an-iterable;0.0027
results_Pylint_refactor_chained-comparison;0.0029
results_Pylint_error_too-few-format-args;0.0033
results_Pylint_error_too-many-format-args;0.0033
results_Pylint_warning_unused-argument;0.0034
results_Pylint_error_import-error;0.0035
results_Pylint_convention_mixed-line-endings;0.0039
results_Pylint_refactor_simplifiable-if-statement;0.0040
results_Pylint_error_bad-option-value;0.0041
results_Pylint_error_return-in-init;0.0044
results_Pylint_convention_consider-using-dict-items;0.0044
results_Pylint_convention_import-outside-toplevel;0.0045
results_Pylint_error_not-a-mapping;0.0046
results_Pylint_warning_wildcard-import;0.0046
results_Pylint_error_used-before-assignment;0.0047
results_Pylint_convention_wrong-import-position;0.0048
results_Pylint_convention_use-sequence-for-iteration;0.0049
results_Pylint_refactor_consider-using-dict-comprehension;0.0049
results_Pylint_warning_redundant-unittest-assert;0.0049
results_Pylint_convention_consider-using-enumerate;0.0050
results_Pylint_warning_bad-staticmethod-argument;0.0050
results_Pylint_warning_redefined-outer-name;0.0050
results_Pylint_refactor_consider-using-with;0.0051
results_Pylint_error_no-method-argument;0.0051
results_Pylint_refactor_too-many-locals;0.0052
results_Pylint_convention_disallowed-name;0.0054
results_Pylint_convention_multiple-imports;0.0055
results_Pylint_warning_pointless-statement;0.0055
results_Pylint_refactor_no-else-return;0.0056
results_Pylint_info_c-extension-no-member;0.0056
results_Pylint_convention_trailing-whitespace;0.0056
results_Pylint_warning_eval-used;0.0056
results_Pylint_error_not-callable;0.0057
results_Pylint_error_no-self-argument;0.0058
results_Pylint_refactor_consider-using-set-comprehension;0.0058
results_Pylint_refactor_redefined-argument-from-local;0.0059
results_Pylint_convention_missing-function-docstring;0.0059
results_Pylint_refactor_no-classmethod-decorator;0.0063
results_Pylint_error_relative-beyond-top-level;0.0064
results_Pylint_warning_unused-wildcard-import;0.0064
results_Pylint_refactor_unnecessary-comprehension;0.0064
results_Pylint_warning_forgotten-debug-statement;0.0065
results_Pylint_warning_dangerous-default-value;0.0067
results_Pylint_warning_raise-missing-from;0.0068
results_Pylint_refactor_condition-evals-to-constant;0.0068
results_Pylint_refactor_use-dict-literal;0.0068
results_Pylint_error_invalid-sequence-index;0.0069
results_Pylint_refactor_too-few-public-methods;0.0070
results_Pylint_warning_deprecated-module;0.0071
results_Pylint_refactor_consider-using-min-builtin;0.0071
results_Pylint_warning_expression-not-assigned;0.0072
results_Pylint_warning_global-statement;0.0072
results_Pylint_refactor_too-many-arguments;0.0072
results_Pylint_refactor_inconsistent-return-statements;0.0073
results_Pylint_warning_format-string-without-interpolation;0.0073
results_Pylint_error_nonexistent-operator;0.0073
results_Pylint_warning_unnecessary-semicolon;0.0073
results_Pylint_warning_missing-format-argument-key;0.0073
results_Pylint_warning_invalid-envvar-default;0.0075
results_Pylint_warning_protected-access;0.0076
results_Pylint_warning_missing-format-attribute;0.0077
results_Pylint_warning_redefined-builtin;0.0077
results_Pylint_error_assignment-from-no-return;0.0078
results_Pylint_warning_comparison-with-callable;0.0078
results_Pylint_refactor_useless-return;0.0079
results_Pylint_error_access-member-before-definition;0.0079
results_Pylint_error_non-iterator-returned;0.0082
results_Pylint_error_redundant-keyword-arg;0.0082
results_Pylint_warning_pointless-string-statement;0.0082
results_Pylint_error_unexpected-special-method-signature;0.0083
results_Pylint_warning_raising-format-tuple;0.0083
results_Pylint_warning_unnecessary-pass;0.0084
results_Pylint_warning_useless-else-on-loop;0.0085
results_Pylint_error_abstract-class-instantiated;0.0085
results_Pylint_refactor_consider-using-max-builtin;0.0086
results_Pylint_refactor_consider-merging-isinstance;0.0088
results_Pylint_warning_assert-on-string-literal;0.0088
results_Pylint_warning_duplicate-key;0.0089
results_Pylint_refactor_consider-using-in;0.0089
results_Pylint_warning_arguments-differ;0.0089
results_Pylint_convention_consider-iterating-dictionary;0.0090
results_Pylint_warning_lost-exception;0.0091
results_Pylint_warning_logging-not-lazy;0.0092
results_Pylint_refactor_no-else-raise;0.0093
results_Pylint_error_bad-except-order;0.0093
results_Pylint_error_assigning-non-slot;0.0093
results_Pylint_error_unsupported-membership-test;0.0094
results_Pylint_warning_implicit-str-concat;0.0095
results_Pylint_convention_use-implicit-booleaness-not-comparison;0.0096
results_Pylint_error_no-value-for-parameter;0.0097
results_Pylint_warning_arguments-renamed;0.0097
results_Pylint_convention_useless-import-alias;0.0097
results_Pylint_convention_bad-mcs-method-argument;0.0098
results_Pylint_refactor_no-self-use;0.0098
results_Pylint_warning_bad-indentation;0.0099
results_Pylint_convention_ungrouped-imports;0.0100
results_Pylint_convention_too-many-lines;0.0101
results_Pylint_refactor_stop-iteration-return;0.0102
results_Pylint_warning_deprecated-class;0.0102
results_Pylint_error_invalid-unary-operand-type;0.0102
results_Pylint_warning_reimported;0.0102
results_Pylint_warning_exec-used;0.0103
results_Pylint_refactor_too-many-statements;0.0105
results_Pylint_convention_singleton-comparison;0.0106
results_Pylint_warning_duplicate-string-formatting-argument;0.0106
results_Pylint_refactor_simplify-boolean-expression;0.0108
