Predicted,Actual
10988447.3000,6611.0000
871604.2550,1069887.0000
2162956.8100,75436.0000
8278071.3100,65366.0000
1538911.7708,57879.0000
1212266.2400,1028628.0000
2118164.6480,76850.0000
22757393.8960,2476812.0000
1750616.7319,18904.0000
7345145.4300,2739364.0000
1658719.6075,4927393.0000
1509598.7142,1296052.0000
2481861.5475,106.0000
2481861.5475,560561.0000
2481861.5475,238319.0000
1750616.7319,17136.0000
2481861.5475,624596.0000
5983494.0440,17008.0000
6372404.5200,23239081.0000
2481861.5475,94412.0000
6285789.1973,286671.0000
7954541.2603,36.0000
11396589.0700,14082.0000
2674845.8192,4351.0000
783492.7595,2.0000
585705.0464,329437.0000
4148891.5550,102737.0000
2436687.9522,1076199.0000
69770.3300,3227.0000
2481861.5475,91261.0000
292949.9926,9450.0000
1649968.4092,1625972.0000
732655.5815,76244.0000
2481861.5475,154.0000
5374373.1376,871563.0000
2481861.5475,643.0000
7514377.8051,11393224.0000
3386602.0300,126.0000
669592.2664,2929493.0000
5269879.4199,45776.0000
2481861.5475,56813.0000
2481861.5475,63345.0000
2481861.5475,2079321.0000
3751613.7000,56131.0000
2849035.2737,29271.0000
2244838.3402,567383.0000
1203700.1621,3333.0000
2481861.5475,23265.0000
2481861.5475,1078518.0000
1750616.7319,9175403.0000
588826.8056,286528.0000
2481861.5475,109936.0000
4644335.3282,35820.0000
1469916.7300,2974.0000
2481861.5475,100.0000
330248.2975,7511.0000
2844862.9300,167738.0000
961460.0219,6922.0000
4485733.3200,499097.0000
2281762.3037,164402.0000
2481861.5475,21054.0000
1176073.8575,1758894.0000
2481861.5475,606959.0000
2481861.5475,238.0000
245677.4000,27984.0000
2481861.5475,184496.0000
1650750.0757,895113.0000
2481861.5475,1050.0000
5770589.9600,908512.0000
2481861.5475,256039.0000
311731.2170,8282080.0000
2481861.5475,90195.0000
3107.6775,741.0000
241302.2489,113687146.0000
346967.2408,35187.0000
113777.5580,110714.0000
3773979.9711,6932031.0000
2481861.5475,110635.0000
2481861.5475,17805.0000
2455777.3857,698467.0000
2481861.5475,1110513.0000
21771352.7300,76441.0000
2481861.5475,1189.0000
2139798.3927,9573.0000
