Predicted,Actual
6708414.0000,6611.0000
916644.9375,1069887.0000
249518.0000,75436.0000
21108570.0000,65366.0000
292101.0000,57879.0000
969732.0000,1028628.0000
206171.0000,76850.0000
30923207.0000,2476812.0000
1729760.4872,18904.0000
59681934.0000,2739364.0000
720598.0000,4927393.0000
1671511.0000,1296052.0000
2529356.5270,106.0000
2529356.5270,560561.0000
2529356.5270,238319.0000
1729760.4872,17136.0000
2529356.5270,624596.0000
3246.0000,17008.0000
6131493.0000,23239081.0000
2529356.5270,94412.0000
5947223.9167,286671.0000
7570579.0000,36.0000
15628003.0000,14082.0000
2935575.0000,4351.0000
1.0000,2.0000
683246.7500,329437.0000
368127.0000,102737.0000
22785.0000,1076199.0000
3084.0000,3227.0000
2529356.5270,91261.0000
2320.5000,9450.0000
1671511.0000,1625972.0000
289202.0000,76244.0000
2529356.5270,154.0000
5276929.2778,871563.0000
2529356.5270,643.0000
11848501.2857,11393224.0000
10256215.0000,126.0000
48246.0000,2929493.0000
7467402.0000,45776.0000
2529356.5270,56813.0000
2529356.5270,63345.0000
2529356.5270,2079321.0000
272964.0000,56131.0000
11313.0000,29271.0000
676830.0000,567383.0000
206171.0000,3333.0000
2529356.5270,23265.0000
2529356.5270,1078518.0000
1729760.4872,9175403.0000
143.0000,286528.0000
2529356.5270,109936.0000
5214991.2692,35820.0000
47199.0000,2974.0000
2529356.5270,100.0000
18767.0000,7511.0000
96413.0000,167738.0000
385645.0000,6922.0000
7526762.0000,499097.0000
2811245.0000,164402.0000
2529356.5270,21054.0000
1543535.0000,1758894.0000
2529356.5270,606959.0000
2529356.5270,238.0000
10272.0000,27984.0000
2529356.5270,184496.0000
1619630.6667,895113.0000
2529356.5270,1050.0000
39007.0000,908512.0000
2529356.5270,256039.0000
28828.0000,8282080.0000
2529356.5270,90195.0000
2874.7500,741.0000
163412.0000,113687146.0000
76092.0000,35187.0000
99865.6000,110714.0000
1157503.0000,6932031.0000
2529356.5270,110635.0000
2529356.5270,17805.0000
5451200.0000,698467.0000
2529356.5270,1110513.0000
1417456.0000,76441.0000
2529356.5270,1189.0000
683246.7500,9573.0000
2529356.5270,128948.0000
4069557.0000,74856711.0000
2318569.6000,42966181.0000
1277496.0625,193251.0000
2189815.4524,168148.0000
79895.0000,185062.0000
338868.7500,55917.0000
