Predicted,Actual
14600659.2301,6611.0000
3001023.9260,1069887.0000
5523192.4311,75436.0000
3327416.9628,65366.0000
2587105.3281,57879.0000
2545500.2241,1028628.0000
2664408.6559,76850.0000
3192388.0327,2476812.0000
2587105.3281,18904.0000
5773289.3762,2739364.0000
2096560.9822,4927393.0000
3327416.9628,1296052.0000
2587105.3281,106.0000
2587105.3281,560561.0000
2587105.3281,238319.0000
2587105.3281,17136.0000
2587105.3281,624596.0000
3301834.2632,17008.0000
2934391.4515,23239081.0000
2587105.3281,94412.0000
2587105.3281,286671.0000
4327449.1377,36.0000
3766756.5061,14082.0000
3327416.9628,4351.0000
2499173.1813,2.0000
2587105.3281,329437.0000
6755224.3504,102737.0000
2180472.2911,1076199.0000
3954321.0020,3227.0000
2587105.3281,91261.0000
2103168.9633,9450.0000
1986337.5871,1625972.0000
2587105.3281,76244.0000
2587105.3281,154.0000
3327416.9628,871563.0000
2587105.3281,643.0000
3001023.9260,11393224.0000
4055763.1777,126.0000
2923720.5982,2929493.0000
2664408.6559,45776.0000
2587105.3281,56813.0000
2587105.3281,63345.0000
2587105.3281,2079321.0000
6889978.0402,56131.0000
2587105.3281,29271.0000
4668725.6976,567383.0000
2664408.6559,3333.0000
2587105.3281,23265.0000
2587105.3281,1078518.0000
2587105.3281,9175403.0000
2587105.3281,286528.0000
2587105.3281,109936.0000
2587105.3281,35820.0000
2698288.1173,2974.0000
2587105.3281,100.0000
1751943.5365,7511.0000
3282820.1413,167738.0000
2587105.3281,6922.0000
2610861.2040,499097.0000
2499173.1813,164402.0000
2587105.3281,21054.0000
3561146.2054,1758894.0000
2587105.3281,606959.0000
2587105.3281,238.0000
3689453.1783,27984.0000
2587105.3281,184496.0000
3331104.5298,895113.0000
2587105.3281,1050.0000
4785450.1588,908512.0000
2587105.3281,256039.0000
2587105.3281,8282080.0000
2587105.3281,90195.0000
2587105.3281,741.0000
2587105.3281,113687146.0000
3224530.9353,35187.0000
2299736.5962,110714.0000
3325238.4445,6932031.0000
2587105.3281,110635.0000
2587105.3281,17805.0000
4433452.3799,698467.0000
2587105.3281,1110513.0000
1541349.9942,76441.0000
2587105.3281,1189.0000
3331104.5298,9573.0000
2587105.3281,128948.0000
4955110.4806,74856711.0000
2341123.7067,42966181.0000
2587105.3281,193251.0000
2664408.6559,168148.0000
3261086.7629,185062.0000
2103168.9633,55917.0000
2587105.3281,1146.0000
2664408.6559,258064.0000
2664408.6559,861799.0000
2587105.3281,36545.0000
2985395.0964,23957.0000
2587105.3281,569.0000
2587105.3281,1434073.0000
1533857.2554,15435.0000
3331104.5298,4516591.0000
2587105.3281,13063.0000
2647461.5843,87500.0000
2242522.9269,301453.0000
2587105.3281,709.0000
3978459.8499,16766794.0000
3325238.4445,1142884.0000
2587105.3281,392166.0000
2587105.3281,26211.0000
2587105.3281,21326.0000
3689453.1783,220220.0000
2587105.3281,46757.0000
3331104.5298,134480.0000
3001023.9260,309255.0000
2587105.3281,526820.0000
2664408.6559,237807.0000
2587105.3281,601858.0000
3689453.1783,1667650.0000
2587105.3281,41280.0000
2587105.3281,597829.0000
2587105.3281,7128.0000
1482679.7691,1033003.0000
2587105.3281,11534400.0000
1008130.4563,272334.0000
1723593.5549,79214.0000
1957207.0185,3812.0000
2587105.3281,4849474.0000
2587105.3281,11634951.0000
2587105.3281,394731.0000
2587105.3281,72814.0000
2587105.3281,6505.0000
1106718.6045,181.0000
3211649.4563,4308568.0000
2587105.3281,1904671.0000
5412783.8487,5741.0000
2587105.3281,1609276.0000
3331104.5298,62.0000
3473989.5122,242859.0000
2587105.3281,96330.0000
3331104.5298,2762.0000
2587105.3281,17378418.0000
2587105.3281,117029.0000
4230809.1270,4397428.0000
2587105.3281,82789.0000
3301834.2632,316784.0000
1692806.8794,70189.0000
3542963.1132,311.0000
2587105.3281,278871.0000
2587105.3281,69523.0000
2587105.3281,31794.0000
2587105.3281,115410.0000
2587105.3281,8161666.0000
2587105.3281,425207.0000
2587105.3281,87456.0000
3017479.5400,79195.0000
4000803.7393,1337108.0000
2835788.4514,303332.0000
3408407.8576,5946263.0000
2587105.3281,17301.0000
2587105.3281,3500.0000
2273480.3384,756.0000
2587105.3281,2590767.0000
3331104.5298,12530626.0000
2587105.3281,191721.0000
2587105.3281,43411.0000
3911675.5658,506663.0000
2587105.3281,51977.0000
2587105.3281,15368.0000
2587105.3281,1255779.0000
2587105.3281,62207.0000
2587105.3281,156280.0000
2587105.3281,6210371.0000
3561146.2054,31028774.0000
2587105.3281,115274.0000
2112578.0787,479444.0000
3001023.9260,485072.0000
2587105.3281,6636.0000
2587105.3281,10696876.0000
2664408.6559,12219028.0000
3001023.9260,47235.0000
2587105.3281,100.0000
2587105.3281,353567.0000
4183088.2859,266203.0000
2587105.3281,50186.0000
2587105.3281,11687.0000
2587105.3281,40953.0000
2587105.3281,618353.0000
2587105.3281,69881.0000
2587105.3281,82320.0000
2587105.3281,85881.0000
3188454.2149,111906713.0000
2587105.3281,898.0000
2587105.3281,607414.0000
5238518.1936,495543.0000
2587105.3281,362275.0000
2587105.3281,31445.0000
4477066.1049,58863.0000
2587105.3281,615.0000
3290030.5976,56424844.0000
2587105.3281,177634.0000
2587105.3281,1682.0000
2587105.3281,565897.0000
2587105.3281,2254.0000
14880690.9744,253475.0000
2923720.5982,447201.0000
3408407.8576,54595.0000
5999065.5656,248474.0000
2677544.8446,62606.0000
2587105.3281,2279.0000
2918993.2408,124128.0000
6258236.6775,1956312.0000
4071416.1645,114712.0000
2587105.3281,1456495.0000
3664032.2329,348.0000
3745023.1277,175038.0000
2587105.3281,292090.0000
4265774.6394,2271.0000
4433452.3799,955415.0000
6173617.1164,80927.0000
5187474.8733,1471951.0000
2587105.3281,47.0000
3001023.9260,257244.0000
2587105.3281,361.0000
4394154.2783,449645.0000
2587105.3281,265408.0000
2587105.3281,10762.0000
7928347.6270,1064729.0000
2103168.9633,74117.0000
2724764.9121,127917.0000
2587105.3281,43006.0000
2587105.3281,2160277.0000
2923720.5982,16120.0000
2587105.3281,1747231.0000
2587105.3281,120745.0000
2587105.3281,325.0000
2587105.3281,628.0000
2587105.3281,132437.0000
4637962.0463,1050.0000
2923720.5982,1896760.0000
2726459.2918,338879.0000
2587105.3281,1215082.0000
4742500.5479,2243715.0000
2587105.3281,5618.0000
2103168.9633,94095411.0000
3766756.5061,431.0000
2923720.5982,22059.0000
4521094.7641,2110696.0000
2587105.3281,40239.0000
3462719.3462,46976.0000
3483420.8527,157627.0000
2587105.3281,13976.0000
7081069.0607,7401.0000
2587105.3281,1417666.0000
2587105.3281,238558.0000
2587105.3281,2218401.0000
2587105.3281,771.0000
3325238.4445,77527.0000
2587105.3281,2073.0000
2587105.3281,258842.0000
6678238.9141,2059200.0000
2587105.3281,57016.0000
2587105.3281,5730289.0000
4104405.4142,17755.0000
2587105.3281,4596149.0000
2616574.9938,10513.0000
1017469.1483,904253.0000
4242560.9601,3540.0000
1008130.4563,641624.0000
2587105.3281,2277005.0000
2587105.3281,127609.0000
7745832.5655,1029686.0000
2587105.3281,7473.0000
2587105.3281,327233.0000
3133368.3454,22413.0000
2587105.3281,244214.0000
2587105.3281,16625647.0000
3376222.1981,12897.0000
2587105.3281,215994.0000
2909916.1187,26.0000
2587105.3281,41204.0000
2587105.3281,78465.0000
3491716.9940,170792.0000
2587105.3281,5222.0000
2587105.3281,476929.0000
2923720.5982,8169.0000
4190693.6396,401261.0000
2587105.3281,24266.0000
2587105.3281,8361.0000
3976767.9678,1403716.0000
3766756.5061,21132027.0000
2587105.3281,645530.0000
2587105.3281,15927.0000
2587105.3281,61333777.0000
7987076.5756,44471.0000
2587105.3281,55714.0000
2587105.3281,68986.0000
3968530.1370,20963238.0000
2587105.3281,2941.0000
3689453.1783,2102251.0000
1790038.6944,34874.0000
2587105.3281,118885.0000
5385935.9756,9964.0000
2587105.3281,63608.0000
2587105.3281,870.0000
5249652.3539,79243.0000
1888807.2848,4595839.0000
2587105.3281,2172028.0000
14547063.5841,2361069.0000
2587105.3281,94.0000
3331104.5298,78961.0000
5629766.0255,522747.0000
2120917.7544,172568.0000
3380351.0680,74755.0000
3121700.4643,5948502.0000
7210682.2462,1378207.0000
4668725.6976,50521.0000
2587105.3281,8981.0000
3689453.1783,1386334.0000
2219662.5163,19918651.0000
2587105.3281,5129682.0000
3243172.3829,1327.0000
2587105.3281,53225944.0000
4668725.6976,224363.0000
2587105.3281,101492.0000
2587105.3281,432441.0000
4668725.6976,1603192.0000
5067190.4203,2075310.0000
3667719.7998,56681.0000
2379764.1373,57578.0000
2726459.2918,69964.0000
7105808.2044,695393.0000
2587105.3281,70310.0000
5067190.4203,827262.0000
2587105.3281,442100.0000
4588503.0723,27862.0000
2587105.3281,137.0000
2587105.3281,1727.0000
2587105.3281,1064271.0000
3766756.5061,736568.0000
2587105.3281,170251.0000
3561146.2054,1406.0000
2587105.3281,822.0000
3689453.1783,452997.0000
4404182.1134,1569003.0000
2587105.3281,13807.0000
3766756.5061,137448.0000
2587105.3281,257535.0000
2587105.3281,383.0000
4974808.3287,9742931.0000
4433452.3799,59062.0000
2587105.3281,207824.0000
2587105.3281,1479423.0000
6109629.0841,5346854.0000
3638449.5333,49538.0000
2587105.3281,1648.0000
5918772.6971,89453.0000
2587105.3281,239353.0000
2587105.3281,57562.0000
2587105.3281,29660.0000
2587105.3281,3223.0000
2296965.8442,571266.0000
2587105.3281,730974.0000
2587105.3281,6279.0000
2587105.3281,31725567.0000
3344880.1296,517987.0000
2587105.3281,309.0000
3331104.5298,199077.0000
4507068.1409,104041.0000
2587105.3281,109739.0000
2587105.3281,326.0000
2034510.3463,425688.0000
2587105.3281,428.0000
3701043.8520,2184503.0000
2923720.5982,155630.0000
3249563.0333,14202939.0000
2587105.3281,2215.0000
19595050.3377,40605314.0000
2587105.3281,51400.0000
2664408.6559,13626421.0000
1308625.4776,5687.0000
4404182.1134,782146.0000
4731695.3514,1826176.0000
2587105.3281,455472.0000
5445889.1033,893903.0000
4926997.8494,1460204.0000
2283051.3113,514204.0000
20123429.9262,80429.0000
2587105.3281,40720.0000
2587105.3281,246606.0000
2299736.5962,59888.0000
4742500.5479,198977.0000
2587105.3281,15342932.0000
2587105.3281,5580.0000
2587105.3281,4191.0000
2923720.5982,947151.0000
2587105.3281,938824.0000
4433452.3799,26641.0000
2587105.3281,2449087.0000
