Predicted,Actual
-3432571.1940,6611.0000
3254071.2712,1069887.0000
2873744.2192,75436.0000
3649568.3285,65366.0000
3889485.6666,57879.0000
2134856.9805,1028628.0000
3287102.4062,76850.0000
11075122.3734,2476812.0000
3260563.0787,18904.0000
6785597.1145,2739364.0000
-2198291.6488,4927393.0000
1738807.2304,1296052.0000
3260987.6357,106.0000
3260987.6357,560561.0000
3260987.6357,238319.0000
3260563.0787,17136.0000
3260987.6357,624596.0000
3673468.2397,17008.0000
5467943.3729,23239081.0000
3260987.6357,94412.0000
3845504.6780,286671.0000
3270265.4025,36.0000
3464361.1790,14082.0000
3259713.9648,4351.0000
4868693.0000,2.0000
3342174.0901,329437.0000
3082305.4786,102737.0000
1568509.7402,1076199.0000
4930375.8447,3227.0000
3260987.6357,91261.0000
3275915.9639,9450.0000
172252.7724,1625972.0000
3256461.4599,76244.0000
3260987.6357,154.0000
3260138.5217,871563.0000
3260987.6357,643.0000
3084192.0370,11393224.0000
3811029.4974,126.0000
2903560.2968,2929493.0000
3134856.2554,45776.0000
3260987.6357,56813.0000
3260987.6357,63345.0000
3260987.6357,2079321.0000
6655658.4570,56131.0000
12027393.1125,29271.0000
3408493.1425,567383.0000
3283321.3601,3333.0000
3260987.6357,23265.0000
3260987.6357,1078518.0000
3260563.0787,9175403.0000
3297747.9581,286528.0000
3260987.6357,109936.0000
3261989.0603,35820.0000
3492877.6302,2974.0000
3260987.6357,100.0000
2984411.7521,7511.0000
2603489.2665,167738.0000
3179927.2270,6922.0000
8434358.1356,499097.0000
4230121.6385,164402.0000
3260987.6357,21054.0000
3323105.0869,1758894.0000
3260987.6357,606959.0000
3260987.6357,238.0000
2956851.6773,27984.0000
3260987.6357,184496.0000
3407537.1158,895113.0000
3260987.6357,1050.0000
4415402.8731,908512.0000
3260987.6357,256039.0000
148795.1855,8282080.0000
3260987.6357,90195.0000
3245863.4512,741.0000
3260458.5099,113687146.0000
3364804.3076,35187.0000
3234369.6802,110714.0000
4508814.7698,6932031.0000
3260987.6357,110635.0000
3260987.6357,17805.0000
3305503.5011,698467.0000
3260987.6357,1110513.0000
6401276.3328,76441.0000
3260987.6357,1189.0000
2986426.3281,9573.0000
3709035.8184,128948.0000
4021423.1099,74856711.0000
3281013.4656,42966181.0000
3301580.8629,193251.0000
3294664.4984,168148.0000
3378788.7572,185062.0000
3240261.6350,55917.0000
3260987.6357,1146.0000
3295513.6124,258064.0000
3651809.9636,861799.0000
3260987.6357,36545.0000
2813013.5350,23957.0000
3301580.8629,569.0000
3260987.6357,1434073.0000
2035905.2477,15435.0000
3407537.1158,4516591.0000
3260987.6357,13063.0000
3201489.1778,87500.0000
3265324.0587,301453.0000
13333122.2306,709.0000
3128890.4833,16766794.0000
3464579.1804,1142884.0000
3260987.6357,392166.0000
3260987.6357,26211.0000
3126185.4614,21326.0000
2569796.7629,220220.0000
3260987.6357,46757.0000
4271076.4210,134480.0000
3643113.1579,309255.0000
3100754.8357,526820.0000
3316766.2258,237807.0000
3260987.6357,601858.0000
3139207.9540,1667650.0000
3260987.6357,41280.0000
3260987.6357,597829.0000
3260987.6357,7128.0000
3397841.9621,1033003.0000
3260987.6357,11534400.0000
2992857.7819,272334.0000
-164986.9306,79214.0000
3447801.9086,3812.0000
3260987.6357,4849474.0000
3260563.0787,11634951.0000
3260987.6357,394731.0000
2712843.3360,72814.0000
3260987.6357,6505.0000
958582.3988,181.0000
2736673.4908,4308568.0000
3260987.6357,1904671.0000
15612047.6200,5741.0000
3261836.7496,1609276.0000
3375289.8200,62.0000
7476884.0609,242859.0000
3260987.6357,96330.0000
3334262.3757,2762.0000
3260987.6357,17378418.0000
3226686.8638,117029.0000
1960754.9684,4397428.0000
3260987.6357,82789.0000
2926626.1987,316784.0000
