Predicted,Actual
511.0000,6611.0000
3161157.6234,1069887.0000
1670666.1163,75436.0000
783812.0000,65366.0000
3161157.6234,57879.0000
3161157.6234,1028628.0000
3161157.6234,76850.0000
3161157.6234,2476812.0000
3161157.6234,18904.0000
144907571.0000,2739364.0000
720598.0000,4927393.0000
23947.0000,1296052.0000
3161157.6234,106.0000
3161157.6234,560561.0000
3161157.6234,238319.0000
3161157.6234,17136.0000
3161157.6234,624596.0000
3161157.6234,17008.0000
7926481.2727,23239081.0000
3161157.6234,94412.0000
6796038.4500,286671.0000
2546485.0000,36.0000
3161157.6234,14082.0000
3161157.6234,4351.0000
1.0000,2.0000
2020688.2222,329437.0000
1031026.0000,102737.0000
830.0000,1076199.0000
3084.0000,3227.0000
3161157.6234,91261.0000
2320.5000,9450.0000
23947.0000,1625972.0000
289202.0000,76244.0000
3161157.6234,154.0000
3161157.6234,871563.0000
3161157.6234,643.0000
3161157.6234,11393224.0000
1779096.5000,126.0000
1670666.1163,2929493.0000
3161157.6234,45776.0000
3161157.6234,56813.0000
3161157.6234,63345.0000
3161157.6234,2079321.0000
3161157.6234,56131.0000
11313.0000,29271.0000
3161157.6234,567383.0000
3161157.6234,3333.0000
3161157.6234,23265.0000
3161157.6234,1078518.0000
3161157.6234,9175403.0000
18126838.2000,286528.0000
3161157.6234,109936.0000
2000071.5000,35820.0000
2000071.5000,2974.0000
3161157.6234,100.0000
120036.0000,7511.0000
2185.5000,167738.0000
3161157.6234,6922.0000
2371.0000,499097.0000
7926481.2727,164402.0000
3161157.6234,21054.0000
3161157.6234,1758894.0000
3161157.6234,606959.0000
3161157.6234,238.0000
3161157.6234,27984.0000
3161157.6234,184496.0000
3161157.6234,895113.0000
3161157.6234,1050.0000
3161157.6234,908512.0000
3161157.6234,256039.0000
120670.0000,8282080.0000
3161157.6234,90195.0000
3161157.6234,741.0000
3161157.6234,113687146.0000
3161157.6234,35187.0000
1154775.5000,110714.0000
3161157.6234,6932031.0000
3161157.6234,110635.0000
3161157.6234,17805.0000
10061952.3333,698467.0000
3161157.6234,1110513.0000
137055550.0000,76441.0000
3161157.6234,1189.0000
771844.0000,9573.0000
8973268.0000,128948.0000
156.0000,74856711.0000
2000071.5000,42966181.0000
1841658.6389,193251.0000
3161157.6234,168148.0000
3606386.5000,185062.0000
3606386.5000,55917.0000
3161157.6234,1146.0000
721857.1818,258064.0000
84591.0000,861799.0000
3161157.6234,36545.0000
3161157.6234,23957.0000
1841658.6389,569.0000
3161157.6234,1434073.0000
16805.0000,15435.0000
3161157.6234,4516591.0000
3161157.6234,13063.0000
3161157.6234,87500.0000
30702.0000,301453.0000
3161157.6234,709.0000
2608408.7083,16766794.0000
3161157.6234,1142884.0000
3161157.6234,392166.0000
3161157.6234,26211.0000
3161157.6234,21326.0000
3161157.6234,220220.0000
3161157.6234,46757.0000
3161157.6234,134480.0000
1291952.6923,309255.0000
3161157.6234,526820.0000
3161157.6234,237807.0000
3161157.6234,601858.0000
3161157.6234,1667650.0000
3161157.6234,41280.0000
3161157.6234,597829.0000
3161157.6234,7128.0000
265338.0000,1033003.0000
3161157.6234,11534400.0000
3161157.6234,272334.0000
9051.0000,79214.0000
3161157.6234,3812.0000
3161157.6234,4849474.0000
3161157.6234,11634951.0000
3161157.6234,394731.0000
3161157.6234,72814.0000
3161157.6234,6505.0000
608142.0000,181.0000
43344.0000,4308568.0000
3161157.6234,1904671.0000
3161157.6234,5741.0000
721857.1818,1609276.0000
3161157.6234,62.0000
3161157.6234,242859.0000
3161157.6234,96330.0000
3161157.6234,2762.0000
3161157.6234,17378418.0000
7926481.2727,117029.0000
3161157.6234,4397428.0000
3161157.6234,82789.0000
3161157.6234,316784.0000
1111863.0000,70189.0000
5881.0000,311.0000
35241200.0000,278871.0000
3161157.6234,69523.0000
3161157.6234,31794.0000
3161157.6234,115410.0000
3161157.6234,8161666.0000
3161157.6234,425207.0000
3161157.6234,87456.0000
22823.3333,79195.0000
599523.0000,1337108.0000
25382.0000,303332.0000
3161157.6234,5946263.0000
3161157.6234,17301.0000
18126838.2000,3500.0000
74919.0000,756.0000
3161157.6234,2590767.0000
3216124.5714,12530626.0000
3161157.6234,191721.0000
3161157.6234,43411.0000
3161157.6234,506663.0000
3161157.6234,51977.0000
3161157.6234,15368.0000
3161157.6234,1255779.0000
3161157.6234,62207.0000
3161157.6234,156280.0000
3161157.6234,6210371.0000
3161157.6234,31028774.0000
3161157.6234,115274.0000
743056.5000,479444.0000
3161157.6234,485072.0000
3161157.6234,6636.0000
3161157.6234,10696876.0000
26424679.7500,12219028.0000
2151801.2667,47235.0000
3161157.6234,100.0000
3161157.6234,353567.0000
517764.1667,266203.0000
3161157.6234,50186.0000
3161157.6234,11687.0000
3161157.6234,40953.0000
3161157.6234,618353.0000
5988576.2000,69881.0000
3161157.6234,82320.0000
3161157.6234,85881.0000
3161157.6234,111906713.0000
2633.0000,898.0000
2151801.2667,607414.0000
122579.0000,495543.0000
2200167.2500,362275.0000
721857.1818,31445.0000
3161157.6234,58863.0000
3161157.6234,615.0000
3161157.6234,56424844.0000
3161157.6234,177634.0000
3161157.6234,1682.0000
3161157.6234,565897.0000
3161157.6234,2254.0000
3161157.6234,253475.0000
3344536.2500,447201.0000
14642.0000,54595.0000
2394.0000,248474.0000
35152.0000,62606.0000
3161157.6234,2279.0000
3161157.6234,124128.0000
6930.0000,1956312.0000
1085556.5882,114712.0000
3161157.6234,1456495.0000
3161157.6234,348.0000
3161157.6234,175038.0000
3161157.6234,292090.0000
3161157.6234,2271.0000
3161157.6234,955415.0000
3161157.6234,80927.0000
7926481.2727,1471951.0000
3161157.6234,47.0000
3161157.6234,257244.0000
3161157.6234,361.0000
3161157.6234,449645.0000
3161157.6234,265408.0000
3161157.6234,10762.0000
35951828.0000,1064729.0000
626981.1000,74117.0000
3161157.6234,127917.0000
3161157.6234,43006.0000
3161157.6234,2160277.0000
3161157.6234,16120.0000
2546485.0000,1747231.0000
3161157.6234,120745.0000
3161157.6234,325.0000
78752.0000,628.0000
3161157.6234,132437.0000
4102023.0000,1050.0000
3161157.6234,1896760.0000
989459.0000,338879.0000
3161157.6234,1215082.0000
3161157.6234,2243715.0000
3161157.6234,5618.0000
375875.0000,94095411.0000
8973268.0000,431.0000
3161157.6234,22059.0000
1154775.5000,2110696.0000
3161157.6234,40239.0000
59644.0000,46976.0000
3161157.6234,157627.0000
3161157.6234,13976.0000
3161157.6234,7401.0000
3161157.6234,1417666.0000
3161157.6234,238558.0000
3161157.6234,2218401.0000
3161157.6234,771.0000
3161157.6234,77527.0000
3161157.6234,2073.0000
1779096.5000,258842.0000
