Predicted,Actual
-967500.9210,6611.0000
3335302.2509,1069887.0000
3199687.0041,75436.0000
4596963.6583,65366.0000
3335302.2509,57879.0000
3335302.2509,1028628.0000
3335302.2509,76850.0000
3335302.2509,2476812.0000
3335302.2509,18904.0000
6258104.6263,2739364.0000
7840031.9222,4927393.0000
647807.1984,1296052.0000
3335302.2509,106.0000
3335302.2509,560561.0000
3335302.2509,238319.0000
3335302.2509,17136.0000
3335302.2509,624596.0000
3335302.2509,17008.0000
3352424.9491,23239081.0000
3335302.2509,94412.0000
5078263.7477,286671.0000
3064071.7574,36.0000
3335302.2509,14082.0000
3335302.2509,4351.0000
3074162.2524,2.0000
3510769.3963,329437.0000
4353564.0653,102737.0000
1954652.4319,1076199.0000
6334401.2345,3227.0000
3335302.2509,91261.0000
3245086.8430,9450.0000
-126251.7968,1625972.0000
3094762.2671,76244.0000
3335302.2509,154.0000
3335302.2509,871563.0000
3335302.2509,643.0000
3335302.2509,11393224.0000
3127527.9245,126.0000
3199687.0041,2929493.0000
3335302.2509,45776.0000
3335302.2509,56813.0000
3335302.2509,63345.0000
3335302.2509,2079321.0000
3335302.2509,56131.0000
-1437859.7134,29271.0000
3335302.2509,567383.0000
3335302.2509,3333.0000
3335302.2509,23265.0000
3335302.2509,1078518.0000
3335302.2509,9175403.0000
3391967.8595,286528.0000
3335302.2509,109936.0000
3344899.8406,35820.0000
3344899.8406,2974.0000
3335302.2509,100.0000
2959454.8922,7511.0000
3119335.2483,167738.0000
3335302.2509,6922.0000
4326178.4926,499097.0000
3352424.9491,164402.0000
3335302.2509,21054.0000
3335302.2509,1758894.0000
3335302.2509,606959.0000
3335302.2509,238.0000
3335302.2509,27984.0000
3335302.2509,184496.0000
3335302.2509,895113.0000
3335302.2509,1050.0000
3335302.2509,908512.0000
3335302.2509,256039.0000
3494068.5987,8282080.0000
3335302.2509,90195.0000
3335302.2509,741.0000
3335302.2509,113687146.0000
3335302.2509,35187.0000
3209205.6342,110714.0000
3335302.2509,6932031.0000
3335302.2509,110635.0000
3335302.2509,17805.0000
3508494.9320,698467.0000
3335302.2509,1110513.0000
5481603.1643,76441.0000
3335302.2509,1189.0000
3415345.6180,9573.0000
1945626.5796,128948.0000
2715900.9156,74856711.0000
3220997.5341,42966181.0000
3423035.8236,193251.0000
3335302.2509,168148.0000
3188421.2343,185062.0000
3188421.2343,55917.0000
3335302.2509,1146.0000
3315989.9308,258064.0000
5904947.1378,861799.0000
3335302.2509,36545.0000
3335302.2509,23957.0000
3423035.8236,569.0000
3335302.2509,1434073.0000
6105309.2710,15435.0000
3335302.2509,4516591.0000
3335302.2509,13063.0000
3335302.2509,87500.0000
3519129.3883,301453.0000
3335302.2509,709.0000
3123031.0910,16766794.0000
3335302.2509,1142884.0000
3335302.2509,392166.0000
3335302.2509,26211.0000
3335302.2509,21326.0000
3335302.2509,220220.0000
3335302.2509,46757.0000
3335302.2509,134480.0000
3449988.0745,309255.0000
3335302.2509,526820.0000
3335302.2509,237807.0000
3335302.2509,601858.0000
3335302.2509,1667650.0000
3335302.2509,41280.0000
3335302.2509,597829.0000
3335302.2509,7128.0000
3295727.0657,1033003.0000
3335302.2509,11534400.0000
3335302.2509,272334.0000
-5232838.7773,79214.0000
3335302.2509,3812.0000
3335302.2509,4849474.0000
3335302.2509,11634951.0000
3335302.2509,394731.0000
3335302.2509,72814.0000
3335302.2509,6505.0000
-9000720.3721,181.0000
2580285.6688,4308568.0000
3335302.2509,1904671.0000
3335302.2509,5741.0000
3315989.9308,1609276.0000
3335302.2509,62.0000
3335302.2509,242859.0000
3335302.2509,96330.0000
3335302.2509,2762.0000
3335302.2509,17378418.0000
3352424.9491,117029.0000
3335302.2509,4397428.0000
3335302.2509,82789.0000
3335302.2509,316784.0000
6672423.6823,70189.0000
2133801.6587,311.0000
3496234.6695,278871.0000
3335302.2509,69523.0000
3335302.2509,31794.0000
3335302.2509,115410.0000
3335302.2509,8161666.0000
3335302.2509,425207.0000
3335302.2509,87456.0000
2329081.3164,79195.0000
12945368.0353,1337108.0000
3382642.0574,303332.0000
3335302.2509,5946263.0000
3335302.2509,17301.0000
3391967.8595,3500.0000
2156364.3726,756.0000
3335302.2509,2590767.0000
4274622.9171,12530626.0000
3335302.2509,191721.0000
3335302.2509,43411.0000
3335302.2509,506663.0000
3335302.2509,51977.0000
3335302.2509,15368.0000
3335302.2509,1255779.0000
-39106765.0497,62207.0000
3335302.2509,156280.0000
3335302.2509,6210371.0000
3335302.2509,31028774.0000
3335302.2509,115274.0000
3409079.2528,479444.0000
3335302.2509,485072.0000
3335302.2509,6636.0000
3335302.2509,10696876.0000
2549986.2442,12219028.0000
3193383.1738,47235.0000
3335302.2509,100.0000
3335302.2509,353567.0000
2829928.0083,266203.0000
3335302.2509,50186.0000
3335302.2509,11687.0000
3335302.2509,40953.0000
3335302.2509,618353.0000
3018030.3663,69881.0000
3335302.2509,82320.0000
3335302.2509,85881.0000
3335302.2509,111906713.0000
4127653.8607,898.0000
3193383.1738,607414.0000
19960302.6493,495543.0000
3325646.0908,362275.0000
3315989.9308,31445.0000
3335302.2509,58863.0000
3335302.2509,615.0000
3335302.2509,56424844.0000
3335302.2509,177634.0000
3335302.2509,1682.0000
3335302.2509,565897.0000
3335302.2509,2254.0000
3335302.2509,253475.0000
3523257.4620,447201.0000
5445601.4821,54595.0000
3335849.2941,248474.0000
3259222.4900,62606.0000
3335302.2509,2279.0000
3335302.2509,124128.0000
2826237.5430,1956312.0000
3378600.4212,114712.0000
3335302.2509,1456495.0000
3335302.2509,348.0000
3335302.2509,175038.0000
3335302.2509,292090.0000
3335302.2509,2271.0000
3335302.2509,955415.0000
3335302.2509,80927.0000
3352424.9491,1471951.0000
3335302.2509,47.0000
3335302.2509,257244.0000
3335302.2509,361.0000
3335302.2509,449645.0000
3335302.2509,265408.0000
2968103.6156,10762.0000
12966448.4637,1064729.0000
13577433.5578,74117.0000
3335302.2509,127917.0000
3335302.2509,43006.0000
3335302.2509,2160277.0000
3335302.2509,16120.0000
3064071.7574,1747231.0000
3335302.2509,120745.0000
3335302.2509,325.0000
3662656.0040,628.0000
3335302.2509,132437.0000
3678037.7484,1050.0000
3335302.2509,1896760.0000
3588846.8090,338879.0000
3335302.2509,1215082.0000
3335302.2509,2243715.0000
3335302.2509,5618.0000
3051137.8075,94095411.0000
1945626.5796,431.0000
3335302.2509,22059.0000
3209205.6342,2110696.0000
3335302.2509,40239.0000
3403857.2895,46976.0000
3335302.2509,157627.0000
3335302.2509,13976.0000
3335302.2509,7401.0000
3335302.2509,1417666.0000
3335302.2509,238558.0000
3335302.2509,2218401.0000
3335302.2509,771.0000
3335302.2509,77527.0000
3335302.2509,2073.0000
3362869.7235,258842.0000
3335302.2509,2059200.0000
3335302.2509,57016.0000
4118056.2710,5730289.0000
3335302.2509,17755.0000
5073041.3605,4596149.0000
-1398426.6518,10513.0000
1868004.3361,904253.0000
3340403.8525,3540.0000
3335302.2509,641624.0000
3335302.2509,2277005.0000
2510009.0452,127609.0000
-2039496.1449,1029686.0000
3335302.2509,7473.0000
3340403.8525,327233.0000
6958418.6940,22413.0000
3356191.7998,244214.0000
3335302.2509,16625647.0000
1456173.0417,12897.0000
3335302.2509,215994.0000
1299407.4804,26.0000
2397629.8009,41204.0000
3335302.2509,78465.0000
5913916.5536,170792.0000
3335302.2509,5222.0000
3335302.2509,476929.0000
3489182.6120,8169.0000
3340403.8525,401261.0000
3335302.2509,24266.0000
3335302.2509,8361.0000
3335302.2509,1403716.0000
4274622.9171,21132027.0000
3232682.0921,645530.0000
3335302.2509,15927.0000
3335302.2509,61333777.0000
2786145.5542,44471.0000
3335302.2509,55714.0000
3335302.2509,68986.0000
3335302.2509,20963238.0000
3335302.2509,2941.0000
3335302.2509,2102251.0000
3335302.2509,34874.0000
3335302.2509,118885.0000
3335302.2509,9964.0000
3335302.2509,63608.0000
3335302.2509,870.0000
2410428.5458,79243.0000
3214307.2358,4595839.0000
3335302.2509,2172028.0000
3407389.9994,2361069.0000
3335302.2509,94.0000
4591189.7244,78961.0000
3335302.2509,522747.0000
4318889.1182,172568.0000
3209205.6342,74755.0000
3588911.2884,5948502.0000
12018618.8489,1378207.0000
3335302.2509,50521.0000
3335302.2509,8981.0000
3335302.2509,1386334.0000
4317921.0874,19918651.0000
3335302.2509,5129682.0000
3335302.2509,1327.0000
5073041.3605,53225944.0000
3335302.2509,224363.0000
3335302.2509,101492.0000
3335302.2509,432441.0000
3335302.2509,1603192.0000
3197130.2790,2075310.0000
3335302.2509,56681.0000
2989087.2007,57578.0000
3861703.6872,69964.0000
3335302.2509,695393.0000
2797688.1732,70310.0000
3335302.2509,827262.0000
3378600.4212,442100.0000
-14631876.9348,27862.0000
