Predicted,Actual
22082786.1142,6611.0000
3134463.3048,1069887.0000
1641537.3585,75436.0000
2536736.0067,65366.0000
3134463.3048,57879.0000
3134463.3048,1028628.0000
3134463.3048,76850.0000
3134463.3048,2476812.0000
3134463.3048,18904.0000
17463580.7970,2739364.0000
2543530.8550,4927393.0000
647801.9025,1296052.0000
3134463.3048,106.0000
3134463.3048,560561.0000
3134463.3048,238319.0000
3134463.3048,17136.0000
3134463.3048,624596.0000
3134463.3048,17008.0000
7299669.0486,23239081.0000
3134463.3048,94412.0000
7195312.3629,286671.0000
2576078.8062,36.0000
3134463.3048,14082.0000
3134463.3048,4351.0000
74607.0216,2.0000
1769957.1571,329437.0000
7996299.3900,102737.0000
1603889.6229,1076199.0000
111644.8900,3227.0000
3134463.3048,91261.0000
1723959.8949,9450.0000
1207024.8925,1625972.0000
225729.4034,76244.0000
3134463.3048,154.0000
3134463.3048,871563.0000
3134463.3048,643.0000
3134463.3048,11393224.0000
3143230.6255,126.0000
1641537.3585,2929493.0000
3134463.3048,45776.0000
3134463.3048,56813.0000
3134463.3048,63345.0000
3134463.3048,2079321.0000
3134463.3048,56131.0000
3348603.4225,29271.0000
3134463.3048,567383.0000
3134463.3048,3333.0000
3134463.3048,23265.0000
3134463.3048,1078518.0000
3134463.3048,9175403.0000
18482118.4949,286528.0000
3134463.3048,109936.0000
2019629.7224,35820.0000
2019629.7224,2974.0000
3134463.3048,100.0000
721319.4678,7511.0000
411195.8743,167738.0000
3134463.3048,6922.0000
4920785.1233,499097.0000
7299669.0486,164402.0000
3134463.3048,21054.0000
3134463.3048,1758894.0000
3134463.3048,606959.0000
3134463.3048,238.0000
3134463.3048,27984.0000
3134463.3048,184496.0000
3134463.3048,895113.0000
3134463.3048,1050.0000
3134463.3048,908512.0000
3134463.3048,256039.0000
1382468.3190,8282080.0000
3134463.3048,90195.0000
3134463.3048,741.0000
3134463.3048,113687146.0000
3134463.3048,35187.0000
1290524.2755,110714.0000
3134463.3048,6932031.0000
3134463.3048,110635.0000
3134463.3048,17805.0000
10970713.7055,698467.0000
3134463.3048,1110513.0000
61041763.5100,76441.0000
3134463.3048,1189.0000
1169044.5798,9573.0000
8352162.4441,128948.0000
260963.2865,74856711.0000
2015880.8048,42966181.0000
1742948.0196,193251.0000
3134463.3048,168148.0000
3709698.2067,185062.0000
3709698.2067,55917.0000
3134463.3048,1146.0000
761472.4846,258064.0000
201808.2189,861799.0000
3134463.3048,36545.0000
3134463.3048,23957.0000
1742948.0196,569.0000
3134463.3048,1434073.0000
2756212.1567,15435.0000
3134463.3048,4516591.0000
3134463.3048,13063.0000
3134463.3048,87500.0000
573051.4807,301453.0000
3134463.3048,709.0000
2555239.9647,16766794.0000
3134463.3048,1142884.0000
3134463.3048,392166.0000
3134463.3048,26211.0000
3134463.3048,21326.0000
3134463.3048,220220.0000
3134463.3048,46757.0000
3134463.3048,134480.0000
1188383.3312,309255.0000
3134463.3048,526820.0000
3134463.3048,237807.0000
3134463.3048,601858.0000
3134463.3048,1667650.0000
3134463.3048,41280.0000
3134463.3048,597829.0000
3134463.3048,7128.0000
987220.1547,1033003.0000
3134463.3048,11534400.0000
3134463.3048,272334.0000
1828716.4133,79214.0000
3134463.3048,3812.0000
3134463.3048,4849474.0000
3134463.3048,11634951.0000
3134463.3048,394731.0000
3134463.3048,72814.0000
3134463.3048,6505.0000
3972062.8000,181.0000
101387.5087,4308568.0000
3134463.3048,1904671.0000
3134463.3048,5741.0000
761472.4846,1609276.0000
3134463.3048,62.0000
3134463.3048,242859.0000
3134463.3048,96330.0000
3134463.3048,2762.0000
3134463.3048,17378418.0000
7299669.0486,117029.0000
3134463.3048,4397428.0000
3134463.3048,82789.0000
3134463.3048,316784.0000
10171926.2600,70189.0000
2708128.5200,311.0000
2317154.6481,278871.0000
3134463.3048,69523.0000
3134463.3048,31794.0000
3134463.3048,115410.0000
3134463.3048,8161666.0000
3134463.3048,425207.0000
3134463.3048,87456.0000
112088.7865,79195.0000
8768434.9605,1337108.0000
75687.4494,303332.0000
3134463.3048,5946263.0000
3134463.3048,17301.0000
18482118.4949,3500.0000
876799.6437,756.0000
3134463.3048,2590767.0000
2993346.2269,12530626.0000
3134463.3048,191721.0000
3134463.3048,43411.0000
3134463.3048,506663.0000
3134463.3048,51977.0000
3134463.3048,15368.0000
3134463.3048,1255779.0000
3134463.3048,62207.0000
3134463.3048,156280.0000
3134463.3048,6210371.0000
3134463.3048,31028774.0000
3134463.3048,115274.0000
1820729.5575,479444.0000
3134463.3048,485072.0000
3134463.3048,6636.0000
3134463.3048,10696876.0000
7518494.3660,12219028.0000
2266220.4347,47235.0000
3134463.3048,100.0000
3134463.3048,353567.0000
14314407.8741,266203.0000
3134463.3048,50186.0000
3134463.3048,11687.0000
3134463.3048,40953.0000
3134463.3048,618353.0000
3791733.6293,69881.0000
3134463.3048,82320.0000
3134463.3048,85881.0000
3134463.3048,111906713.0000
233302.0771,898.0000
2266220.4347,607414.0000
4767334.9600,495543.0000
2299700.9075,362275.0000
761472.4846,31445.0000
3134463.3048,58863.0000
3134463.3048,615.0000
3134463.3048,56424844.0000
3134463.3048,177634.0000
3134463.3048,1682.0000
3134463.3048,565897.0000
3134463.3048,2254.0000
3134463.3048,253475.0000
3298844.2990,447201.0000
410662.9950,54595.0000
1111369.5305,248474.0000
1378505.9243,62606.0000
3134463.3048,2279.0000
3134463.3048,124128.0000
2021776.0898,1956312.0000
1121524.3770,114712.0000
3134463.3048,1456495.0000
3134463.3048,348.0000
3134463.3048,175038.0000
3134463.3048,292090.0000
3134463.3048,2271.0000
3134463.3048,955415.0000
3134463.3048,80927.0000
7299669.0486,1471951.0000
3134463.3048,47.0000
3134463.3048,257244.0000
3134463.3048,361.0000
3134463.3048,449645.0000
3134463.3048,265408.0000
3134463.3048,10762.0000
15320696.5700,1064729.0000
11006492.4944,74117.0000
3134463.3048,127917.0000
3134463.3048,43006.0000
3134463.3048,2160277.0000
3134463.3048,16120.0000
2576078.8062,1747231.0000
3134463.3048,120745.0000
3134463.3048,325.0000
1082448.8736,628.0000
3134463.3048,132437.0000
2487427.3399,1050.0000
3134463.3048,1896760.0000
11311949.1458,338879.0000
3134463.3048,1215082.0000
3134463.3048,2243715.0000
3134463.3048,5618.0000
599837.4108,94095411.0000
8352162.4441,431.0000
3134463.3048,22059.0000
1290524.2755,2110696.0000
3134463.3048,40239.0000
13635939.3825,46976.0000
3134463.3048,157627.0000
3134463.3048,13976.0000
3134463.3048,7401.0000
3134463.3048,1417666.0000
3134463.3048,238558.0000
3134463.3048,2218401.0000
3134463.3048,771.0000
3134463.3048,77527.0000
3134463.3048,2073.0000
1924787.2624,258842.0000
3134463.3048,2059200.0000
3134463.3048,57016.0000
720578.3752,5730289.0000
3134463.3048,17755.0000
2889718.8695,4596149.0000
1776287.2520,10513.0000
1866608.9283,904253.0000
6848710.1448,3540.0000
3134463.3048,641624.0000
3134463.3048,2277005.0000
1072878.9356,127609.0000
537014.8792,1029686.0000
3134463.3048,7473.0000
6848710.1448,327233.0000
1344486.7540,22413.0000
118365.0967,244214.0000
3134463.3048,16625647.0000
2168685.8317,12897.0000
3134463.3048,215994.0000
2489625.2400,26.0000
2328027.1570,41204.0000
3134463.3048,78465.0000
670970.5284,170792.0000
3134463.3048,5222.0000
3134463.3048,476929.0000
5391566.7640,8169.0000
6848710.1448,401261.0000
3134463.3048,24266.0000
3134463.3048,8361.0000
3134463.3048,1403716.0000
2993346.2269,21132027.0000
3134463.3048,645530.0000
3134463.3048,15927.0000
3134463.3048,61333777.0000
4627608.8275,44471.0000
3134463.3048,55714.0000
3134463.3048,68986.0000
3134463.3048,20963238.0000
3134463.3048,2941.0000
3134463.3048,2102251.0000
3134463.3048,34874.0000
3134463.3048,118885.0000
3134463.3048,9964.0000
3134463.3048,63608.0000
3134463.3048,870.0000
4433426.3167,79243.0000
2505682.1904,4595839.0000
3134463.3048,2172028.0000
52224633.4047,2361069.0000
3134463.3048,94.0000
1355865.0653,78961.0000
3134463.3048,522747.0000
339852.4706,172568.0000
1290524.2755,74755.0000
2812307.4050,5948502.0000
3879227.7200,1378207.0000
3134463.3048,50521.0000
3134463.3048,8981.0000
3134463.3048,1386334.0000
1910941.6615,19918651.0000
3134463.3048,5129682.0000
3134463.3048,1327.0000
2889718.8695,53225944.0000
3134463.3048,224363.0000
3134463.3048,101492.0000
3134463.3048,432441.0000
3134463.3048,1603192.0000
2351272.2665,2075310.0000
3134463.3048,56681.0000
189709.1700,57578.0000
7191433.3850,69964.0000
3134463.3048,695393.0000
1843762.0373,70310.0000
3134463.3048,827262.0000
1121524.3770,442100.0000
3796745.0400,27862.0000
1753560.3620,137.0000
3134463.3048,1727.0000
3134463.3048,1064271.0000
3134463.3048,736568.0000
3134463.3048,170251.0000
3134463.3048,1406.0000
3134463.3048,822.0000
3134463.3048,452997.0000
2516872.6873,1569003.0000
3134463.3048,13807.0000
3134463.3048,137448.0000
1371297.6960,257535.0000
3134463.3048,383.0000
640401.3288,9742931.0000
3134463.3048,59062.0000
9932030.4787,207824.0000
378328.3989,1479423.0000
3134463.3048,5346854.0000
3134463.3048,49538.0000
3134463.3048,1648.0000
3134463.3048,89453.0000
3134463.3048,239353.0000
3134463.3048,57562.0000
3134463.3048,29660.0000
858963.3850,3223.0000
2382984.9093,571266.0000
3134463.3048,730974.0000
3134463.3048,6279.0000
3134463.3048,31725567.0000
3134463.3048,517987.0000
3134463.3048,309.0000
3134463.3048,199077.0000
3134463.3048,104041.0000
3134463.3048,109739.0000
3134463.3048,326.0000
3134463.3048,425688.0000
3134463.3048,428.0000
2760421.8782,2184503.0000
3134463.3048,155630.0000
5137565.7100,14202939.0000
3134463.3048,2215.0000
3134463.3048,40605314.0000
3134463.3048,51400.0000
3134463.3048,13626421.0000
3134463.3048,5687.0000
3134463.3048,782146.0000
8432941.2500,1826176.0000
3134463.3048,455472.0000
3134463.3048,893903.0000
3134463.3048,1460204.0000
3134463.3048,514204.0000
10716218.5700,80429.0000
3134463.3048,40720.0000
3134463.3048,246606.0000
1290524.2755,59888.0000
3134463.3048,198977.0000
3134463.3048,15342932.0000
1121524.3770,5580.0000
4550892.4630,4191.0000
9930236.6441,947151.0000
3134463.3048,938824.0000
4028.7592,26641.0000
3134463.3048,2449087.0000
11710286.4513,146245.0000
3134463.3048,19582.0000
3134463.3048,163248.0000
3134463.3048,739904.0000
6439206.9967,629439.0000
3134463.3048,168469.0000
3104082.5967,913470.0000
2266220.4347,75792.0000
3906091.0795,290336.0000
3134463.3048,57095.0000
3134463.3048,155.0000
4143362.3650,160779.0000
3134463.3048,15280258.0000
3134463.3048,1421.0000
3181100.4300,505045.0000
465280.8925,340219.0000
3134463.3048,74103519.0000
3134463.3048,11925.0000
3134463.3048,2510121.0000
3134463.3048,894.0000
3134463.3048,145897.0000
3134463.3048,409754.0000
997794.6912,29131587.0000
3134463.3048,6966.0000
3134463.3048,1796.0000
3134463.3048,580413.0000
3134463.3048,259425.0000
3134463.3048,3509251.0000
3134463.3048,6326198.0000
3134463.3048,6262315.0000
3134463.3048,5322.0000
3134463.3048,487821.0000
3134463.3048,20132.0000
235357.3907,20638887.0000
3709698.2067,23450378.0000
500331.1855,1910628.0000
235357.3907,88503.0000
2700420.6083,104426.0000
497633.1207,54172.0000
3134463.3048,72582.0000
1641537.3585,388263.0000
3134463.3048,2379710.0000
3134463.3048,15995.0000
3134463.3048,821207.0000
3134463.3048,27940917.0000
3134463.3048,83324359.0000
3134463.3048,62818.0000
1853924.6429,10462.0000
3134463.3048,6524935.0000
3134463.3048,16324.0000
3134463.3048,1896294.0000
4968577.2700,12346551.0000
9783555.5500,5316.0000
892145.5164,17234175.0000
3134463.3048,396.0000
5323658.7700,2283371.0000
3158762.6400,1424.0000
4554385.7980,1103157.0000
840765.8400,219103.0000
3134463.3048,7512.0000
3134463.3048,47726.0000
3371566.8933,33032.0000
2209099.1347,3323473.0000
3134463.3048,538045.0000
3134463.3048,7844732.0000
