Predicted,Actual
6602300.8060,6611.0000
779687.4093,1069887.0000
2274459.3500,75436.0000
3083801.8185,65366.0000
752894.9169,57879.0000
1443393.4500,1028628.0000
2062628.3806,76850.0000
27369196.7017,2476812.0000
1642544.0988,18904.0000
7103668.1837,2739364.0000
1719756.0998,4927393.0000
224668.4593,1296052.0000
2488563.2434,106.0000
2488563.2434,560561.0000
2488563.2434,238319.0000
1642544.0988,17136.0000
2488563.2434,624596.0000
4674312.3669,17008.0000
5359636.6200,23239081.0000
2488563.2434,94412.0000
2488563.2434,286671.0000
9537851.1560,36.0000
11383084.9800,14082.0000
2223211.9458,4351.0000
476699.3600,2.0000
2488563.2434,329437.0000
3050689.6322,102737.0000
3583952.5874,1076199.0000
170538.2274,3227.0000
2488563.2434,91261.0000
2340298.7915,9450.0000
1642544.0988,1625972.0000
2488563.2434,76244.0000
2488563.2434,154.0000
5637835.2661,871563.0000
2488563.2434,643.0000
4359710.8248,11393224.0000
1794219.8950,126.0000
130989.3792,2929493.0000
4058303.1720,45776.0000
2488563.2434,56813.0000
2488563.2434,63345.0000
2488563.2434,2079321.0000
10246445.4533,56131.0000
2488563.2434,29271.0000
1962684.3728,567383.0000
1184994.7330,3333.0000
2488563.2434,23265.0000
2488563.2434,1078518.0000
1642544.0988,9175403.0000
2488563.2434,286528.0000
2488563.2434,109936.0000
4555142.5515,35820.0000
1467380.2517,2974.0000
2488563.2434,100.0000
2488563.2434,7511.0000
2946677.1425,167738.0000
955355.9784,6922.0000
33524130.9175,499097.0000
4149194.3410,164402.0000
2488563.2434,21054.0000
1144559.7800,1758894.0000
2488563.2434,606959.0000
2488563.2434,238.0000
304286.1000,27984.0000
2488563.2434,184496.0000
2581988.5922,895113.0000
2488563.2434,1050.0000
4352365.1000,908512.0000
2488563.2434,256039.0000
81086.1138,8282080.0000
2488563.2434,90195.0000
3107.6775,741.0000
846403.2761,113687146.0000
54876.4716,35187.0000
2488563.2434,110714.0000
4929579.1179,6932031.0000
2488563.2434,110635.0000
2488563.2434,17805.0000
927051.2848,698467.0000
2488563.2434,1110513.0000
3741410.4236,76441.0000
2488563.2434,1189.0000
7419381.0909,9573.0000
2488563.2434,128948.0000
6257268.6475,74856711.0000
2488563.2434,42966181.0000
2488563.2434,193251.0000
2278496.8593,168148.0000
2808575.5948,185062.0000
2488563.2434,55917.0000
2488563.2434,1146.0000
2278496.8593,258064.0000
3173568.7485,861799.0000
2488563.2434,36545.0000
220169.5827,23957.0000
2488563.2434,569.0000
2488563.2434,1434073.0000
9890565.1903,15435.0000
2581988.5922,4516591.0000
2488563.2434,13063.0000
413362.6763,87500.0000
2488563.2434,301453.0000
17433675.2149,709.0000
12499946.3400,16766794.0000
274914.2870,1142884.0000
2488563.2434,392166.0000
2488563.2434,26211.0000
9447081.8055,21326.0000
1688066.5800,220220.0000
2488563.2434,46757.0000
483447.8493,134480.0000
779687.4093,309255.0000
774858.7800,526820.0000
2988256.0872,237807.0000
2488563.2434,601858.0000
582130.9354,1667650.0000
2488563.2434,41280.0000
2488563.2434,597829.0000
2488563.2434,7128.0000
807034.0280,1033003.0000
2488563.2434,11534400.0000
46252.0800,272334.0000
9435169.7400,79214.0000
667870.4721,3812.0000
2488563.2434,4849474.0000
1642544.0988,11634951.0000
2488563.2434,394731.0000
1202884.2894,72814.0000
2488563.2434,6505.0000
4834456.6009,181.0000
5637835.2661,4308568.0000
2488563.2434,1904671.0000
2618293.6687,5741.0000
2488563.2434,1609276.0000
2533529.8824,62.0000
5911566.7300,242859.0000
2488563.2434,96330.0000
7419381.0909,2762.0000
2488563.2434,17378418.0000
2488563.2434,117029.0000
10535728.6100,4397428.0000
2488563.2434,82789.0000
2315611.0985,316784.0000
7634796.6490,70189.0000
4630162.6900,311.0000
3348138.8560,278871.0000
