Issue,Importance
results_Pylint_warning_redefined-outer-name,0.00054363
results_Pylint_warning_pointless-string-statement,0.00020559
results_Pylint_warning_unused-variable,0.00741057
results_Pylint_error_import-error,-0.00928687
results_Pylint_warning_unspecified-encoding,-0.00201015
results_Pylint_convention_consider-using-enumerate,0.00098641
results_Pylint_warning_unused-argument,-0.00171616
results_Pylint_convention_missing-function-docstring,-0.01127891
results_Pylint_warning_redefined-builtin,0.00388598
results_Pylint_convention_line-too-long,-0.00002525
results_Pylint_refactor_consider-using-generator,-0.01307812
results_Pylint_convention_missing-class-docstring,-0.00209639
results_Pylint_convention_invalid-name,-0.01551471
results_Pylint_refactor_no-else-return,0.00598348
results_Pylint_error_relative-beyond-top-level,-0.00301465
results_Pylint_error_no-name-in-module,-0.00007350
results_Pylint_convention_wrong-import-order,-0.00006952
results_Pylint_convention_missing-module-docstring,0.00916294
results_Pylint_convention_trailing-whitespace,0.00096800
results_Pylint_convention_consider-using-f-string,0.00157469
results_Pylint_refactor_use-a-generator,-0.00011985
results_Pylint_warning_global-variable-not-assigned,0.00062241
results_Pylint_warning_broad-except,0.00888477
results_Pylint_convention_superfluous-parens,-0.00007339
results_Pylint_refactor_no-self-use,-0.02320207
results_Pylint_refactor_too-many-public-methods,0.00538743
results_Pylint_refactor_consider-using-get,-0.00022760
results_Pylint_refactor_too-many-instance-attributes,0.01246727
results_Pylint_warning_global-statement,-0.00421003
results_Pylint_refactor_too-many-statements,-0.00100862
results_Pylint_warning_attribute-defined-outside-init,0.00105488
results_Pylint_warning_fixme,-0.00672538
results_Pylint_warning_unused-import,0.00122458
results_Pylint_error_no-member,0.00037379
results_Pylint_refactor_simplifiable-if-statement,0.00089975
results_Pylint_warning_protected-access,0.00133708
results_Pylint_convention_import-outside-toplevel,-0.01524069
results_Pylint_warning_super-init-not-called,-0.00057614
results_Pylint_refactor_super-with-arguments,0.00060491
results_Pylint_error_bad-except-order,0.00318034
results_Pylint_refactor_literal-comparison,0.00023685
results_Pylint_refactor_too-many-nested-blocks,-0.00024445
results_Pylint_error_no-value-for-parameter,-0.00094759
results_Pylint_warning_arguments-differ,0.00001886
